名称,位置,总价,每平方单价,介绍
电梯低楼层 地势平坦 南向 简装 封闭小区 购物便利,瑞安新城,28,"5,615元/平",低楼层(共18层)1室1厅|49.87平米|南
三号线  大连站 两室  拎包入住,建平里（大菜市商圈）,85,"10,801元/平",低楼层(共7层)3室1厅|78.7平米|南北
南北通透，低楼层.视野宽阔，采光充足，配套齐全,宏良小区,135,"14,947元/平",中楼层(共7层)2室2厅|90.32平米|南北
西安路 79五四华庭 封闭小区  精装入住 好房出售,五四华庭,223,"28,488元/平",高楼层(共27层)2室1厅|78.28平米|南北
岭秀西园洋房2楼婚房装修全明户型诚心出售欢迎看房,岭秀滨城悦和西园,94,"11,289元/平",中楼层(共5层)2室2厅|83.27平米|南北
刘家桥 2室1厅 南 北,刘家桥,61.8,"9,730元/平",高楼层(共6层)2室1厅|63.52平米|南北
南北好户型，大三室，适合改善，精装修，楼龄新环境好,新希望乐城,125.6,"9,882元/平",高楼层(共28层)3室2厅|127.11平米|南北
南北通透简单装修拎包入住价钱可议满五唯一急售,锦霞南园,58,"10,423元/平",中楼层(共8层)2室1厅|55.65平米|南北
房子是南北户型  一楼没有遮挡   采光好,花溪镇,48,"6,125元/平",低楼层(共18层)2室2厅|78.37平米|南北
精装 户型方正 采光充足 近轻轨 地铁 中间楼层,泉水N1区,75,"9,240元/平",低楼层(共33层)2室1厅|81.17平米|南
一室一厅户型方正 精装修 视野开阔 交通便利,知润山,48,"8,691元/平",低楼层(共16层)1室1厅|55.23平米|南
绿城品质小区，三室两卫，双泳池双会馆，精装修。,绿城九龙仓桃源里,320,"23,427元/平",低楼层(共32层)3室2厅|136.6平米|南西北
新机场片区  看海  人车分流 3室,中梁观澜壹号院,79.5,"8,912元/平",中楼层(共6层)3室2厅|89.21平米|南北
华润置地公元九里 4室2厅 南 北,华润置地公元九里,72,"7,575元/平",高楼层(共6层)4室2厅|95.05平米|南北
小户型一室 单价低 总价低 适合自住,美辰臻品,99,"15,404元/平",高楼层(共5层)2室1厅|64.27平米|东
北苑新村 低楼层  位置好  适合各年龄  段,北苑新村,35.6,"5,347元/平",低楼层(共6层)2室1厅|66.59平米|南北
封闭小区交通配套完善，近旅顺地铁12号线,凤栖台,89,"9,158元/平",中楼层(共11层)3室2厅|97.19平米|南北
精装修楼层好视野好保持好，楼位置好,三合庭苑,102,"8,102元/平",低楼层(共11层)3室2厅|125.91平米|南北
三十九，楼龄新电梯楼，位置好交通便利，近地铁公交,良运四季汇,65,"14,445元/平",低楼层(共29层)1室0厅|45平米|北
此房南北通透，随时看房，交通便利，不把边中间楼层,隆成壹品,61.6,"7,000元/平",高楼层(共6层)2室1厅|88平米|南北
松苑山庄 南北向2室 前厅营业后厅住人,松苑山庄,68,"7,250元/平",低楼层(共7层)2室1厅|93.8平米|南北
连界巷 2室1厅 南 北,连界巷,60,"11,010元/平",中楼层(共6层)2室1厅|54.5平米|南北
精装入可住 双南卧室南客厅 全明户型 近地铁商圈,远洋荣域B1区,122,"15,761元/平",高楼层(共33层)2室2厅|77.41平米|南
味食小区的房子，房子保持的很不错,味食小区,48,"8,572元/平",高楼层(共6层)2室1厅|56平米|南北
旅顺轻轨海景华城 两室精装修近轻轨户型好佳  好出租,海景华城,34.6,"4,927元/平",高楼层(共18层)2室2厅|70.23平米|西南
芙蓉花园，南北通透户型，采光好，楼层好,芙蓉花园（金州）,84,"9,799元/平",高楼层(共6层)2室1厅|85.73平米|南北
金地檀境五名户型视野开阔采光充足配套设施齐全,金地檀境,84,"9,645元/平",低楼层(共31层)2室2厅|87.1平米|南北
高新园区70年产权，南向精装一室一厅，好楼层，采光好,山海一家一期,56,"12,324元/平",低楼层(共16层)1室1厅|45.44平米|东南
富力两室南北通透前面是洋房无遮挡视野好位置好,富力东堤湾畔,68,"8,126元/平",高楼层(共27层)2室2厅|83.69平米|南北
友好校区仓上1楼 南北通透 精装修,友好街32号,58,"8,406元/平",低楼层(共5层)2室2厅|69平米|南北
裕民新苑 电梯房 无遮挡 采光好 视野宽阔！,裕民新苑,56.8,"8,892元/平",中楼层(共11层)2室1厅|63.88平米|南
1872一期 中间楼层拎包入住 业主诚心出售,招商公园1872一期,159.9,"17,194元/平",低楼层(共34层)3室2厅|93平米|南北
晶品缘林 3室2厅 南 北,晶品缘林,165,"13,759元/平",中楼层(共19层)3室2厅|119.93平米|南北
小区后排，采光足，五明户型，万科物业,万科翡翠公园,108,"12,122元/平",低楼层(共14层)3室2厅|89.1平米|南北
76中学桥北 2室1厅 东南,76中学桥北,79,"14,427元/平",高楼层(共6层)2室1厅|54.76平米|东南
金荣园 三室 南北通厅 楼龄新 近华联松江路地铁,金荣园,135,"10,780元/平",高楼层(共7层)3室2厅|125.24平米|南北
南向标准一室  精装修 前排  视野好 近韩国XUE 校,绿洲半岛北岸,43,"8,032元/平",高楼层(共11层)1室1厅|53.54平米|南
三鼎春天 3室2厅 南 北,三鼎春天,225.8,"21,718元/平",低楼层(共5层)3室2厅|103.97平米|南北
远洋三期南北向户型，楼层好，采光好,远洋时代城三期,86,"9,906元/平",低楼层(共22层)2室2厅|86.82平米|北南
房子保持不错 楼层好 位置好 适合一家三口居住,万科城市之光,156,"16,836元/平",中楼层(共14层)3室1厅|92.66平米|南北
海湾高 中 万达广场 轻轨站 人车分流 交通方便,外滩九号,55,"6,439元/平",中楼层(共17层)2室2厅|85.43平米|南北
金润电梯一室 保持很好拎包住 近市场车站,金润小区B区,37,"7,243元/平",低楼层(共18层)1室1厅|51.09平米|南
小组团+基本没住保持好+出行购物方便+全天采光视野好,万科魅力之城,84.8,"11,109元/平",高楼层(共18层)2室2厅|76.34平米|南
香海连天两室  经典户型  房主急售 精装修 看房方便,香海连天,48,"7,200元/平",低楼层(共16层)2室2厅|66.67平米|南北
总监选房精装经典两室型南北通透,华润海中国七期,162.5,"17,807元/平",中楼层(共24层)2室2厅|91.26平米|南北
两室好房，位置好。楼层好。拎包入住,欣家园二期,60,"7,088元/平",高楼层(共28层)2室1厅|84.66平米|南北
西岗区香炉礁  地脚好离地铁近    中间楼层  采光好,香炉礁,40,"8,379元/平",高楼层(共6层)2室1厅|47.74平米|南
瀛海金洲 好楼层可看海 精装三室两厅两卫 全明户型,瀛海金洲,115,"9,397元/平",高楼层(共33层)3室2厅|122.39平米|南西北
封闭小区环境优美 南北通透 前面无遮挡 采光好,翰林苑,199,"23,116元/平",中楼层(共15层)2室2厅|86.09平米|南北
香工街精装修 南北向 两室一厅,香炉礁,42,"11,221元/平",高楼层(共7层)2室1厅|37.43平米|南北
中华城领第 2室1厅 南 北,中华城领第,120,"14,057元/平",低楼层(共19层)2室1厅|85.37平米|南北
此房楼层好，地理位置好，交通便利。,古玩城小区,63.2,"6,203元/平",中楼层(共7层)3室2厅|101.9平米|南北
远洋荣域B2区 2室2厅 南,远洋荣域B2区,159.8,"18,541元/平",中楼层(共30层)2室2厅|86.19平米|南
圣克拉三期 前排无遮挡 中间楼层俯瞰操场 山体公园,东方圣克拉三期,146,"21,955元/平",低楼层(共33层)2室1厅|66.5平米|南
通用阳光丽景 2室1厅 南,通用阳光丽景,58,"6,656元/平",高楼层(共29层)2室1厅|87.15平米|南
此房南北通透三室，楼层好，视野采光都好,金科金弘基·集美郡,71,"8,059元/平",高楼层(共15层)3室2厅|88.11平米|南北
盛麟商厦楼上两室一厅带个小院适合各个人群,文化路,28,"4,512元/平",低楼层(共6层)2室1厅|62.06平米|南北
户型两室 楼层好 封闭小区 采光充足,金宸联郡,60,"9,999元/平",低楼层(共17层)2室1厅|60.01平米|南
北山村海景房，田字格三室，随时可看，一梯两户,北山小区,53,"6,616元/平",中楼层(共7层)3室1厅|80.12平米|南北
小区 位置，精装修未住 适合婚房，位置好 出行方便,东昌壹号,180,"13,361元/平",低楼层(共18层)3室2厅|134.73平米|南北
亿锋广场南北通透三室两厅好楼层,亿锋广场嘉苑,160,"16,466元/平",高楼层(共32层)3室1厅|97.17平米|南北
精装修 小三室 前排 视野好 取暖好  拎包入住,绿洲半岛北岸,85,"8,932元/平",低楼层(共11层)2室1厅|95.17平米|南北
房子是电梯洋房，户型通透，近轻轨站,尚海湾,43,"5,367元/平",中楼层(共6层)2室2厅|80.13平米|南北
招商经典三室 采光好 户型规矩 诚心出售 手续清晰,招商海德公园,169.9,"15,687元/平",低楼层(共32层)3室2厅|108.31平米|南北
科技广场  刘长春小  双地铁 光线好 小户型,科技广场,66,"8,984元/平",低楼层(共28层)2室1厅|73.47平米|北西
润泽园  近华南 小区中间位置  好楼层  急售,润泽园,138,"15,727元/平",高楼层(共17层)2室1厅|87.75平米|南北
虎滩封闭小区前排视野光线好 户型规矩方正 海景房,帝柏湾,580,"22,713元/平",高楼层(共30层)3室2厅|255.37平米|南北
阳光美麓 精装修 拎包入住 诚心出售 生活配套齐全,恒盛阳光美麓,69,"9,012元/平",低楼层(共33层)2室2厅|76.57平米|南
精装修，南北通厅户型，房主诚心卖,金海国际花园,88,"8,699元/平",低楼层(共12层)3室1厅|101.17平米|北南
小区中间位置 采光无遮挡  价格可谈,东居里,33,"5,310元/平",中楼层(共7层)2室1厅|62.15平米|南北
万科蓝山高楼层 精装修三室两卫 周一汇文 诚心出售,万科蓝山,350,"26,700元/平",高楼层(共11层)3室2厅|131.09平米|南北
西岗区同庆街 低楼层 拎包住近嶨校市场出行方便区,实验小学同庆街,92,"19,756元/平",低楼层(共7层)2室0厅|46.57平米|西南
封闭小区，装修好，一室两厅，诚心卖，价格可谈,颐和星海,160,"21,405元/平",低楼层(共26层)1室1厅|74.75平米|南
楼后就是南山公园 楼层好 房子新式装修 家具家电齐全,世纪路中段,33,"4,951元/平",中楼层(共7层)2室2厅|66.66平米|南北
小区中间楼层，交通便利，配套完善，经典好房。,招商公园1872一期,139.5,"15,159元/平",中楼层(共34层)3室1厅|92.03平米|南北
大菜市连平街优质房源！诚心出售！,连平街（大菜市商圈）,65,"10,495元/平",高楼层(共7层)2室1厅|61.94平米|东西
老城区 好地角 低楼层 户型方正 采光好,中心路一段,25.8,"4,096元/平",中楼层(共4层)3室1厅|63平米|南北
解放路青云街  三楼无坡 旁边就是市场车站,葵园巷,36,"9,291元/平",中楼层(共7层)1室1厅|38.75平米|南
太平加油站后身 老教委楼 楼层好 精装家居家电齐全,世纪路中段,33,"4,954元/平",中楼层(共7层)2室1厅|66.62平米|北南
低楼层，采光充足！看房方便！交通便利！,百畅园,29.5,"7,892元/平",低楼层(共5层)1室1厅|37.38平米|南
两室南北通透 西客厅 房主自己装修 能看海,郁林海景花园,54.5,"6,080元/平",高楼层(共18层)2室2厅|89.65平米|南北
中山路和21 太原街玉华市场户型好宽敞明亮,连华街,130,"19,994元/平",低楼层(共7层)2室1厅|65.02平米|南北
南北通透格局，楼层好，配套设施齐全。,圣嘉美地,48,"6,456元/平",低楼层(共6层)2室2厅|74.35平米|南北
高新园区精装修两室 近万达广场 拎包入住隔音好,雯君庭,124,"17,639元/平",低楼层(共30层)2室2厅|70.3平米|南北
南北通透格局，地势平坦，一楼出入方便,凤凰城,95,"6,973元/平",低楼层(共11层)3室1厅|136.24平米|南北
一楼 精装 两室 地角好 近市场可开门,侯二小区,86.5,"13,854元/平",低楼层(共7层)2室1厅|62.44平米|西
远洋荣域 满五唯一 小区位置佳 近地铁,远洋荣域A4区,152,"17,470元/平",中楼层(共30层)3室1厅|87.01平米|北
怡和街低楼层 精装采光视野无遮挡  临棒棰岛 空气清新,怡和街,56,"11,452元/平",低楼层(共8层)1室1厅|48.9平米|东西
金州北九里保利城电梯高层中间好楼层采光视野俱佳,大连九里保利城,48,"6,234元/平",高楼层(共23层)2室1厅|77平米|南北
胜利西小区 交通方便 有仓房 楼层好采光佳 诚心出售,胜利西小区,46,"7,797元/平",中楼层(共6层)2室1厅|59平米|南北
亿达河口湾二期 3室2厅 北 南,亿达河口湾二期,278,"23,270元/平",低楼层(共33层)3室2厅|119.47平米|北南
星海广场 大平层 精装四室 海景广场景色尽览眼下,星海大观,660,"23,148元/平",高楼层(共50层)4室2厅|285.13平米|南北
万科城，金纺品质小区，配套齐全，交通便利！,万科城,108,"10,050元/平",中楼层(共32层)3室2厅|107.47平米|南北
观山悦二期 前排 视野好南北通透三室 楼下公交车站,观山悦,90,"8,646元/平",低楼层(共27层)3室2厅|104.1平米|南北
富力两室 南北通透小户型 精装修 视野好 采光充足,富力东堤湾畔,66,"7,870元/平",低楼层(共27层)2室1厅|83.87平米|南北
南北通透     可看海    视野好,金科金弘基·集美郡,65,"8,158元/平",高楼层(共33层)2室1厅|79.68平米|南北
侯二小区三楼精装入住近市场 车站,侯二小区,52.5,"11,830元/平",中楼层(共7层)2室1厅|44.38平米|南北
标准两室  小区中 心位置  全天不挡光,远洋时代城一期,65,"8,207元/平",低楼层(共24层)2室2厅|79.21平米|南
小高层 中间楼层 一梯两户 得房率高 精装修保持良好,铭熙水岸二期,52,"5,972元/平",低楼层(共10层)2室2厅|87.08平米|南北
此房属于2室精装修，南北通透格局，小区内无坡,中海凤凰熙岸,77,"9,352元/平",中楼层(共11层)2室2厅|82.34平米|南北
房子是2021建成，出行方便。配套设施齐全房龄新,金山映海,210,"24,357元/平",中楼层(共16层)2室2厅|86.22平米|南北
古城甲区 采光好 视野好 楼层好,古城甲区,46,"9,524元/平",中楼层(共5层)2室1厅|48.3平米|南
405车站下车就是 带阁楼房主急售 价格可议,泡崖康顺园,41.8,"6,537元/平",高楼层(共6层)2室1厅|63.95平米|南北
翡翠春晓五期次新小区，三室两卫户型，精装修未住，,万科翡翠春晓,148,"16,537元/平",高楼层(共8层)3室1厅|89.5平米|南北
城家小区精装修3室，楼层适中，视野开阔,城家,88,"9,607元/平",高楼层(共32层)3室2厅|91.6平米|南北东
店长推荐，婚房装修，拎包入住，家具家电都有。,金州福佳新天地,69.8,"8,681元/平",高楼层(共31层)2室1厅|80.41平米|南
鑫境界中间楼层拎包住看房提前联系,鑫境界,142,"16,086元/平",中楼层(共11层)2室2厅|88.28平米|南北
金海里 急售南向 格局好 采光充足 地理位置优 视野好,金海里,28,"4,568元/平",高楼层(共8层)2室1厅|61.3平米|南
泡崖四区 弘文旁边 楼层好 视野开阔 方便看房 采光好,玉水街,35,"9,582元/平",中楼层(共6层)1室1厅|36.53平米|南
交大西山街主干道边 一楼门头 位置好 客流量大,沙区医院,119,"24,980元/平",低楼层(共7层)1室1厅|47.64平米|东南
王家桥 中间楼层 两室 近地铁 交通便利,王家桥,80,"13,592元/平",中楼层(共7层)2室1厅|58.86平米|南北
华南商圈，带阳台，宽客厅，不临街，采光充足,华东人家,129,"14,355元/平",中楼层(共18层)2室2厅|89.87平米|南北
华业玫瑰东方 1室1厅 南,华业玫瑰东方,110,"24,028元/平",中楼层(共23层)1室1厅|45.78平米|南
【店长推荐】红凌路沿线 南北两室 精装,安邦阳光润城,84,"9,907元/平",中楼层(共32层)2室2厅|84.79平米|东南南北
此房环境优雅，邻里和谐因是散盘，楼前有免费停车位,沿河路37号,35.8,"6,017元/平",中楼层(共6层)2室1厅|59.5平米|南北
康居小区两室一厅 近轻轨五一路主道 交通便利配套完善,康居小区,43,"7,812元/平",中楼层(共6层)2室1厅|55.05平米|南北
D区一眼中好房位置好楼层南北通透视野采光,华润二十四城D区,194.8,"17,302元/平",中楼层(共10层)3室2厅|112.59平米|南北
聚鑫小区 一室一厅 简单装修 看房方便,聚鑫小区三期,26,"6,446元/平",高楼层(共17层)1室1厅|40.34平米|东
前程街三楼，无坡位置好，户型规矩总房款低,顺河巷,40,"11,199元/平",中楼层(共7层)1室1厅|35.72平米|南
白云新村 一室 南向 保持好 采光好,风云巷,29.8,"8,260元/平",高楼层(共6层)1室1厅|36.08平米|南
人民路上两室装修好可以拎包住。,银河公寓,54,"7,915元/平",低楼层(共25层)2室1厅|68.23平米|东北
新机场片区海景房毛坯小区前排采光足,中国城乡逅海,35,"5,184元/平",低楼层(共29层)1室2厅|67.52平米|南
海昌欣城前排高楼层北厅视野好看房方便,海昌欣城,256,"14,294元/平",高楼层(共29层)3室2厅|179.1平米|南北
香炉礁 三室南北田字格采光好 单价低,香炉礁,62,"10,233元/平",高楼层(共7层)3室1厅|60.59平米|南北
新机场商圈！南北通透！产权清晰！看房方便！！五楼,金海蓝湾,73,"8,201元/平",高楼层(共6层)3室1厅|89.02平米|南北
红旗 101 房主自住 家里保持干净 南北通透,职高小区,74,"8,306元/平",中楼层(共7层)2室2厅|89.1平米|南北
亿达玉龙湾，前排无遮挡，婚房精装修,亿达玉龙湾,56.8,"8,163元/平",低楼层(共27层)2室1厅|69.59平米|东
此房满五唯一，精装修，小区位置好，不挡光,聚美东湾,88.8,"11,021元/平",低楼层(共18层)3室2厅|80.58平米|南北
封闭小区精装两室，采光视野好，拎包入住,恒大帝景,145,"21,616元/平",低楼层(共14层)2室2厅|67.08平米|南北
锦华北园 南北通厅 二楼 近地铁 近万达,锦华北园,148,"15,041元/平",低楼层(共6层)2室2厅|98.4平米|南北
绿地通透两室，红梅，七中一路之隔，位置行，楼层行,绿地香树花城,69,"8,362元/平",中楼层(共18层)2室1厅|82.52平米|南北
一楼，南北朝向，视野好，出行容易,林山逸景,78,"8,489元/平",低楼层(共6层)2室2厅|91.89平米|南北
旅顺水师营瑞鑫水晶城多层洋房南北通新装修保持好,瑞鑫水晶城,49.8,"7,754元/平",中楼层(共6层)2室2厅|64.23平米|南北
急售小区好位置大三居楼层好采光好精装没住位置安静,融创海逸长洲三四期,230,"15,944元/平",中楼层(共34层)3室2厅|144.26平米|南北
朗润东园出行方便，全屋地热万科精装，双阳台,朗润园,138,"15,389元/平",低楼层(共16层)3室1厅|89.68平米|南北
精装修 房主忍痛割爱 两室电梯房 拎包入住封闭小区,宇圣明珠,85,"10,686元/平",高楼层(共28层)2室1厅|79.55平米|南北
此房为小区前排不临主路楼层中高层 青训球场肉眼可见,万达体育新城,139,"13,949元/平",低楼层(共34层)3室2厅|99.65平米|南北
友好广场远大大厦价格便宜看房方便,远大大厦,63,"6,157元/平",中楼层(共28层)2室1厅|102.33平米|北
知润山 两居室 南北通厅通透 采光好 房主诚心卖,知润山,78,"10,707元/平",中楼层(共18层)2室1厅|72.85平米|南北
青国青城 户型好采光无遮挡 随时看房,青国青城,95,"11,240元/平",高楼层(共18层)3室1厅|84.52平米|南北
民运巷 3室1厅 南 北,民运巷,79,"8,815元/平",高楼层(共7层)3室1厅|89.63平米|南北
标准南北通厅通透.装修保持好.手续清晰,中庚香海金鼎二期,49,"5,878元/平",低楼层(共11层)2室2厅|83.37平米|南北
房主诚心出售此房，此房采光好，楼层好，格局好，,昌盛经典三期,62,"6,994元/平",中楼层(共17层)2室2厅|88.66平米|南北
锦泉源两室1厅 半封闭小区，小高层 装修 交通便利,锦泉源D2区,75,"11,706元/平",中楼层(共11层)2室1厅|64.07平米|南
金纺小区  精装修多层3楼 看房方便,金纺小区,43.8,"8,510元/平",中楼层(共6层)2室1厅|51.47平米|南北
南北通透三居室，前排房子采光好无遮挡，位置好户型好,翠南隆达院,69.8,"6,722元/平",中楼层(共7层)3室1厅|103.85平米|南北
南北通透  精装两室。拎包入住  近地铁 配套齐全,泉水N3区,79,"9,813元/平",低楼层(共16层)2室1厅|80.51平米|南北
建兴苑 好楼层 老式精装修  位置好出行生活方便,建兴苑,73,"7,390元/平",中楼层(共6层)2室1厅|98.79平米|南北
精装修都是好材料视野好楼层好位置好,悦龙居,115,"13,331元/平",中楼层(共24层)2室2厅|86.27平米|南北
金纺小区 下楼即市场 三楼 南向简单装修 两室 采光好,金纺小区,32,"6,292元/平",中楼层(共5层)2室1厅|50.86平米|南
西安路商圈南昌平小区精装电梯房近地铁拎包即住,南昌平小区,109,"11,990元/平",低楼层(共18层)3室1厅|90.91平米|南西
锦华北园2楼近地铁近甘井子万达近早夜市,锦华北园,108,"10,945元/平",低楼层(共7层)2室2厅|98.68平米|南
五一广场 电梯洋房 封闭小区 人车分流,绿城蘭园,398,"34,916元/平",中楼层(共8层)3室2厅|113.99平米|南北
八三广场，经典三室，二楼，家装房东保持好，拎包入住,八三散盘,46.8,"5,366元/平",低楼层(共6层)3室0厅|87.22平米|南北
【新上】新新园少有现代婚房装修，交通便利无坡,新新园二期,150,"19,303元/平",中楼层(共6层)2室1厅|77.71平米|南北
好房就等有缘人，户型好，采光好，一楼小院。,金普广场四期,55,"7,234元/平",低楼层(共17层)2室1厅|76.03平米|南北
旺角壹景 2室1厅 南 北,旺角壹景,54,"7,500元/平",中楼层(共19层)2室1厅|72平米|南北
知语山 精装修 三室改成衣帽间 保持干净 拎包即住,知语山园,103,"11,005元/平",高楼层(共18层)3室2厅|93.6平米|南北
蓝天下东区 多层海景洋房 南北通厅 三室两厅两卫,中拥蓝天下,75,"6,030元/平",中楼层(共5层)3室2厅|124.38平米|南北
秀月广场地铁口 电梯洋房 采光无遮挡 通厅全明精装,华润半山悦景一期,580,"33,828元/平",中楼层(共8层)3室2厅|171.46平米|南北
杏花里岭湾峰尚一室一厅南向采光好视野开阔随时看房,岭湾峰尚二期,48,"8,366元/平",高楼层(共25层)2室1厅|57.38平米|南
万宝家园 向阳街  家具家电齐全 生活方便,万宝家园（向阳街西四巷）,46,"5,993元/平",中楼层(共6层)2室2厅|76.76平米|南北
华南沃尔玛  两室一厅 双南户型 视野宽阔,华南沃尔玛六一路,59,"10,133元/平",中楼层(共7层)2室1厅|58.23平米|南
桃园小区，低楼层，视野开阔，采光通风好，配套齐全,桃园小区,45,"6,330元/平",低楼层(共6层)2室1厅|71.1平米|南北
香海连天五明户型   设施齐 楼下世达  富华商场  公交,香海连天,45,"6,060元/平",低楼层(共18层)2室1厅|74.26平米|南
翰林府70年产权 红梅七中 手续清晰 有钥匙,瀚林府,75,"13,355元/平",高楼层(共33层)2室1厅|56.16平米|南
此房自家精装修通透户型全屋环保材质各个环节都是品牌,金普广场,70,"7,915元/平",中楼层(共17层)3室2厅|88.45平米|南北
西山水库  位置好 2室1厅 急售,吉祥街,74,"9,802元/平",中楼层(共7层)2室1厅|75.5平米|南西
2001年建多层  中间楼层   精装修  诚心出售,金山小区,67.5,"9,556元/平",中楼层(共7层)2室1厅|70.64平米|南北
诚心出售，拎包入住好房，近公交，南向大卧室,小孤山东里,35,"5,225元/平",高楼层(共6层)2室1厅|66.99平米|南
南北通透全明户型好！位置好楼层佳,滨海丰园,79,"7,472元/平",高楼层(共25层)2室2厅|105.73平米|南北
万科理想之光  三室  精装修  随时 可看房,万科理想之光,95,"10,235元/平",低楼层(共11层)3室1厅|92.82平米|南北
近D铁 次新小区 人车分流 大华物业,大华公园世家,115,"12,605元/平",高楼层(共15层)3室2厅|91.24平米|南北
书香府第，一楼，户型规整，产权清晰，诚心出售,书香府第二期,69.8,"10,826元/平",低楼层(共7层)2室1厅|64.48平米|南
两室一厅 南北通透 好楼层 配套完善 交通便利,倚山花园,70,"8,525元/平",低楼层(共18层)2室1厅|82.12平米|南北
明卫 南北通透 采光好绿化好 自己装修拎包入住,中海天赋山二期,176,"15,719元/平",低楼层(共7层)3室2厅|111.97平米|南北
天鹅湾南向小户型，采光视野无遮挡,东港天鹅湾,135,"21,775元/平",低楼层(共52层)1室1厅|62平米|南
滨海路！精装大平层！客厅宽敞！一个地下车位！,万国宫馆三期,280,"16,131元/平",低楼层(共18层)3室1厅|173.58平米|南北
三室精装修，电梯5楼，楼层合适，楼龄新,佰成·润泽十里,103,"9,208元/平",低楼层(共18层)3室2厅|111.87平米|南北
房主诚心卖房，看房提前联系，基本都能看，价格可议。,金湖里,47.9,"6,330元/平",高楼层(共6层)2室2厅|75.68平米|南北
新上悦泰馨家3室两厅两卫大三室位置好,悦泰馨家,265,"21,919元/平",低楼层(共6层)3室2厅|120.9平米|南北
此房精装修电梯两室两厅一卫，适合婚房或刚需或改善,佳兆业悦璟,80,"9,496元/平",高楼层(共29层)2室1厅|84.25平米|南
岚山著作 3室2厅 南,岚山著作,100,"11,381元/平",低楼层(共10层)3室2厅|87.87平米|南
南沙台山 位置好，近车站和市场,台山,52,"9,160元/平",高楼层(共6层)2室1厅|56.77平米|南北
憬园河畔 中间楼层 南北通透 爱民112初中,憬园河畔,52,"7,908元/平",中楼层(共7层)2室1厅|65.76平米|南北
【店长推荐】华宇梧桐苑精装两室 手续清晰 随时过户,华宇梧桐苑,72,"9,642元/平",高楼层(共31层)2室2厅|74.68平米|南
泡崖四区，南北通透明厅户型两室，好楼层,泡崖四区,70,"8,894元/平",中楼层(共4层)2室1厅|78.71平米|南西北
东城商圈聚美东湾精装修电梯拎包住通透房楼上还有一层,聚美东湾,165,"15,634元/平",高楼层(共9层)3室2厅|105.54平米|南北
保利天禧三期 248平海景房 品质好房,保利天禧三期海纳,758,"30,526元/平",中楼层(共45层)4室1厅|248.32平米|南北
位置好 交通方便 近市场 生活配套齐全,高志里小区,43,"7,414元/平",低楼层(共6层)2室1厅|58平米|南北
湾里东 2室1厅 南 北,湾里东,50,"6,422元/平",高楼层(共7层)2室1厅|77.86平米|南北
店长推荐  门头房 棒棰岛市场门口  一室一厅 南向,金荣路,48,"11,971元/平",低楼层(共6层)1室1厅|40.1平米|南北
房子是三室精装修，楼层好，看房方便，诚心出售,君悦晟景,130,"12,315元/平",高楼层(共30层)3室1厅|105.57平米|南北
中山区景山 近车站市场 精装修一室半 拎包即住,高家沟,45,"10,379元/平",高楼层(共6层)1室1厅|43.36平米|南
捷庆里 2室1厅 南 北,捷庆里,51,"9,482元/平",低楼层(共7层)2室1厅|53.79平米|南北
标准一室户型 中装修 小区前排位置 配套齐全 交通便利,晶品枫林,49.8,"10,332元/平",低楼层(共24层)1室1厅|48.2平米|西南
华南万象汇旁精装全明3室 看房方便价格可谈,远洋广场,235,"20,532元/平",中楼层(共24层)3室2厅|114.46平米|南北
唯美品格二层三室洋房 近八十中 诚心卖 看房方便,唯美品格,419,"29,940元/平",中楼层(共5层)3室2厅|139.95平米|南北
孙家沟，近市场，车站旁，生活及交通方便,孙家沟,56,"6,838元/平",高楼层(共7层)3室1厅|81.9平米|南北
星光域一期 五步一景 7号楼北侧看海 精装修看房随时,星光域一期,500,"25,937元/平",高楼层(共28层)3室2厅|192.78平米|南北
西安路 华阳风尚 中长花园 碧海花园,碧海花园,80,"13,618元/平",中楼层(共6层)2室1厅|58.75平米|东西
带花园的小三室精装小高层，门头已经留好 可经营生意,绿洲半岛一期,105,"11,238元/平",低楼层(共6层)2室1厅|93.44平米|南北
小区中间位置，采光视野佳，业主诚心卖,华润考拉住区南园,107,"13,241元/平",高楼层(共20层)2室2厅|80.81平米|南北
亲亲美境中间楼层二室精装修近公园近华南商圈近地铁,亲亲美境,59,"9,968元/平",高楼层(共18层)2室1厅|59.19平米|南
户型方正，五明户型，楼龄新，采光好，配套齐全。,中铁诺德滨海花园D区,140.8,"19,309元/平",中楼层(共18层)2室2厅|72.92平米|南
诚心出售 两室精装修 近地铁交通购物便利,泉水N1区,125,"11,806元/平",中楼层(共28层)2室1厅|105.88平米|南
健康小区 2室1厅 南 北,健康小区,33,"4,926元/平",中楼层(共6层)2室1厅|67平米|南北
此房满五年有个税，无坡不临道，朝向好，环境安静。,新城街（石道街商圈）,106,"9,299元/平",中楼层(共7层)3室1厅|114平米|南西
城家小区，通燃气，适合上车客户。,城家,56,"9,572元/平",低楼层(共32层)2室1厅|58.51平米|东南
未名山二期 前排，看海景 无遮挡采光,未名山二期,220,"24,989元/平",高楼层(共31层)2室1厅|88.04平米|南北
急售精装3室 小区位置好，采光视野好对门85平同时在售,华润置地幸福里学府苑,105,"10,254元/平",高楼层(共11层)3室2厅|102.4平米|南北
次新电梯房，近校，生活配套齐全。居住舒适,一德新居,128,"17,031元/平",低楼层(共36层)2室1厅|75.16平米|南
