名称,总价,单价,地址,信息,标签
中海九樾中海海富旁 小高层得房率高 有车库 诚意出售,179万,"12,258元/平",现代华庭西园 -缤纷亚洲商圈,3室2厅 | 146.03平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,VR看装修/随时看房
宏图伟厦 经典小三房96平米 环境很优美,89.8万,"9,275元/平",宏图伟厦嘉园 -缤纷亚洲商圈,3室2厅 | 96.82平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,VR看装修/随时看房
新弄里旁 中南五期好楼层 拎包即住 诚心出售,103万,"11,113元/平",中南世纪城五期 -中南商圈,3室1厅 | 92.69平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,VR看装修/随时看房
清华名居 3室2厅 南,172万,"13,535元/平",清华名居 -北金鹰商圈,3室2厅 | 127.08平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,VR看装修
市区双元路 锦海家园 3房 交通便利,73.8万,"6,710元/平",长坝锦海家园 -双元西路商圈,3室2厅 | 110平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,VR看装修/随时看房
翰林壹品空调新风地暖 两套打通的共159平5房154万,86万,"9,762元/平",翰林壹品城 -麦德龙商圈,4室2厅 | 88.1平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,VR房源
吾悦丰盛名望府楼层好单价8开头,99.8万,"8,040元/平",丰盛名望府 -崇礼路商圈,3室2厅 | 124.14平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,VR看装修/随时看房
南附医旁  毛坯四房 好楼层 视野开阔  带车位 随时看,141.3万,"11,437元/平",中梁聚龙首府 -中南商圈,4室2厅 | 123.55平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,VR看装修/随时看房
君启 精装三房 中间楼层  随时看房,160.8万,"13,248元/平",君启 -五星车站商圈,3室2厅 | 121.38平米 | 南 | 精装 | 中楼层(共22层)  | 暂无数据,VR看装修/随时看房
靠聚龙湖欧风街，观湖壹号毛坯两房，好楼层，有大车库,69.8万,"9,488元/平",观湖名邸 -聚龙湖商圈,2室2厅 | 73.57平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,VR看装修/随时看房
圣华雍翠园 毛坯大3房 满2年 户型方正采光好 看房方便,129.8万,"9,220元/平",圣华•雍翠园 -中南商圈,3室2厅 | 140.79平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,VR房源/随时看房
荣润麒麟府毛坯房，三室两厅两卫。房东诚心出售,73万,"5,858元/平",东台荣润麒麟府 -东台市,3室2厅 | 124.62平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,VR看装修/随时看房
君启 精装三房 中间楼层  随时看房,160.8万,"13,248元/平",君启 -五星车站商圈,3室2厅 | 121.38平米 | 南 | 精装 | 中楼层(共22层)  | 暂无数据,VR看装修/随时看房
靠聚龙湖欧风街，观湖壹号毛坯两房，好楼层，有大车库,69.8万,"9,488元/平",观湖名邸 -聚龙湖商圈,2室2厅 | 73.57平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,VR看装修/随时看房
送变电公寓91.78平95万中间楼层南北通透证满2年新精装,95万,"10,351元/平",送变电公寓 -新四军纪念馆商圈,2室2厅 | 91.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,VR房源
农贸小区，位置好，有车库，满两年，拎包即住,105.6万,"10,000元/平",农贸小区 -聚龙湖商圈,3室1厅 | 105.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,VR看装修
聚龙湖商圈丨恒大帝景三房朝南精装丨诚意出售价格可谈,150万,"13,820元/平",恒大帝景 -聚龙湖商圈,3室1厅 | 108.54平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,VR看装修
老城区 水利公寓 精装四室 有大车库,165万,"11,521元/平",水利公寓 -新四军纪念馆商圈,4室2厅 | 143.22平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,VR看装修
小区前排，采光好，无遮挡！！！,106万,"14,134元/平",中南世纪城景城一期 -中南商圈,2室1厅 | 75平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,VR房源
碧桂园一期，满五唯一，楼层好，精装修，房子诚心卖,200万,"14,401元/平",碧桂园一期 -麦德龙商圈,4室2厅 | 138.88平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,VR房源
亨达公寓  新上好房  采光好 业主诚意卖,60万,"7,279元/平",亨达公寓 -新四军纪念馆商圈,3室2厅 | 82.44平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,VR看装修
麦德龙商圈 神州豪苑 精装两房 温馨装修 出行方便,105万,"10,195元/平",神州豪苑 -麦德龙商圈,2室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,VR看装修
城南 恒大帝景 聚龙湖商圈，交通便利，小区环境优美。,169万,"13,967元/平",恒大帝景 -聚龙湖商圈,3室2厅 | 121平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,VR看装修/随时看房
万方名城   电梯房 价格可谈 有车库,105万,"13,665元/平",万方名城·悦心园 -双元西路商圈,2室2厅 | 76.84平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,VR看装修
城东虹亚翰府广场精装两房，拎包即住，随时看房,102.8万,"10,179元/平",虹亚翰府广场 -盐城会展中心商圈,2室1厅 | 101平米 | 南 北 | 精装 | 高楼层(共13层)  | 塔楼,VR看装修
城东 华建雅园 毛坯大三房 含车库 产证满二,157.6万,"12,508元/平",华建雅园 -亭湖高中商圈,3室2厅 | 126平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,VR房源/随时看房
城东在水一方电梯中上楼层 精装修  拎包即住,105.8万,"11,759元/平",在水一方东区 -富康路商圈,2室2厅 | 89.98平米 | 南 | 精装 | 高楼层(共14层)  | 塔楼,VR看装修
房东急售，房子123平三房，出售到北京买房！,150万,"12,196元/平",奥体玫瑰园B区 -中南商圈,3室2厅 | 123平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,VR看装修/随时看房
鹿鸣路金大洋花园旁月湖花城精装修有车库,166万,"17,906元/平",月湖花城 -潘黄商圈,2室2厅 | 92.71平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,VR看装修
月湖花城   精装3房  户型方正  业主诚售,242万,"18,819元/平",月湖花城 -潘黄商圈,3室2厅 | 128.6平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,VR看装修
中环紫郡 精装好楼层 含车库车位,145万,"15,447元/平",中环紫郡 -聚龙湖商圈,3室1厅 | 93.87平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,VR看装修/随时看房
城南 恒大帝景 聚龙湖商圈 小区环境优美 交通便利,129万,"14,022元/平",恒大帝景 -聚龙湖商圈,3室1厅 | 92平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,VR房源
格局好，楼层好，视野宽阔，采光充足，配套设施齐全,180万,"19,502元/平",金融城中央公馆 -聚龙湖商圈,2室2厅 | 92.3平米 | 东 西 北 | 毛坯 | 中楼层(共36层)  | 板塔结合,VR房源
东景山旁 园中园精装两房 带车库 房东诚心出售,82万,"9,171元/平",园中园小区西区 -亭湖高中商圈,2室2厅 | 89.42平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,VR看装修
潘黄美丽小区大户型三室道路出行方便下面娱乐小吃都有,110万,"9,039元/平",美丽小区 -潘黄商圈,3室2厅 | 121.7平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,VR看装修
城南 | 中南四期壕装宫廷风 | 中上楼层大三房双卫 |,240万,"16,747元/平",中南世纪城景城一期 -中南商圈,3室2厅 | 143.31平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,VR看装修
老城区 先锋岛商圈 紫御府 全天采光 2室2厅,125万,"14,535元/平",紫御府 -双元西路商圈,2室2厅 | 86平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,VR看装修
聚龙湖商圈，地段好，一楼位置好可经营，住宅房多用途,126万,"14,123元/平",中环紫郡 -聚龙湖商圈,2室2厅 | 89.22平米 | 南 北 | 简装 | 低楼层(共17层)  | 板塔结合,VR房源
"长坝小区3-2-1-1 93.55m² 88 万,精装修 带车库.",77万,"8,231元/平",长坝小区 -双元西路商圈,3室2厅 | 93.55平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,VR看装修
办公居住  交通便利  世纪大道  市镇府旁 诚心出售,51.4万,"8,349元/平",凤凰金宝广场 -聚龙湖商圈,1室0厅 | 61.57平米 | 北 | 精装 | 中楼层(共24层)  | 板楼,VR看装修
品质小区，品质物业，户型正，采光好,185万,"13,215元/平",万科悦达翡翠云台 -中南商圈,车位 | 140平米 | 南  | 暂无数据,VR房源
铁家港公寓3-2-1-1 出行方便  采光好 房东诚心出售,80万,"6,981元/平",铁家港公寓 -双元西路商圈,3室2厅 | 114.6平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,VR看装修
盐渎路 圣华雍翠园 精装 诚心出售 交通便利,152万,"15,907元/平",圣华•雍翠园 -中南商圈,3室2厅 | 95.56平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,VR看装修
地段优秀，精装修，楼层也好，视野很好，采光充足,132万,"12,737元/平",富康花园 -缤纷亚洲商圈,3室1厅 | 103.64平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,VR房源
此房税少 房型朝南，楼层好，采光充足,166万,"14,091元/平",温馨花园北区 -缤纷亚洲商圈,3室2厅 | 117.81平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,VR看装修
东郊新村虹鑫苑2-2-1-1 105.00m² 96.5 万,90万,"8,572元/平",东郊新村虹鑫苑 -新四军纪念馆商圈,2室2厅 | 105平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,VR看装修
神州路旁车苑华庭 三房两厅一卫 拎包入住,90万,"7,347元/平",车苑华庭 -麦德龙商圈,3室2厅 | 122.5平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,VR看装修
老城区  小区新改造 此房满五唯一  带车库 楼层采光好,65.8万,"7,394元/平",长坝小区 -双元西路商圈,2室1厅 | 89平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,VR房源
车苑华庭  精装三房  拎包入住 交通便利,95万,"10,151元/平",车苑华庭 -麦德龙商圈,3室1厅 | 93.59平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,VR房源
佳源广场，品质小区，户型方正，诚心出售,138万,"14,082元/平",佳源广场 -中南商圈,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,VR看装修/随时看房
佳源广场，品质小区，户型方正，诚心出售,173万,"13,623元/平",佳源广场 -中南商圈,3室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,VR看装修/随时看房
新弄里旁 配套实施齐全交通便 精装三房,168万,"15,273元/平",中南世纪城康城三期 -中南商圈,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,VR看装修
总价低，户型方正，总层不高，得房率高,90万,"11,181元/平",香苑小区 -中南商圈,2室2厅 | 80.5平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,VR看装修
视野宽阔 采光充足 交通便利 户型方正,120万,"10,260元/平",通达国宾府 -中南商圈,3室1厅 | 116.96平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,VR看装修/随时看房
聚龙湖商圈丨品质小区丨户型好丨精装修,257万,"19,208元/平",紫薇花园(亭湖区) -聚龙湖商圈,3室2厅 | 133.8平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,VR看装修
朝阳新村 中间楼层采光充足视野开阔诚心出售交通便捷,66.6万,"8,889元/平",朝阳新村 -东台市,2室1厅 | 74.93平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,VR看装修
佳源广场，品质小区，户型方正，诚心出售,138万,"14,082元/平",佳源广场 -中南商圈,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,VR看装修/随时看房
满5唯1 税少 户型正采光刺眼拎包入住,139万,"15,000元/平",月湖花城 -潘黄商圈,2室2厅 | 92.67平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,VR房源
老城区开放大道旁蓝天公寓2-2-1-1 95.00m² 108万,76万,"8,111元/平",蓝天公寓(亭湖区) -新四军纪念馆商圈,2室2厅 | 93.7平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,VR看装修/随时看房
城南 万科旁 恒大帝景 精装修 采光 人车分流,138万,"12,546元/平",恒大帝景 -聚龙湖商圈,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,VR看装修
房东诚心出售 市区 东郊新村虹鑫苑 精装3房,73万,"7,757元/平",东郊新村虹鑫苑 -新四军纪念馆商圈,3室2厅 | 94.11平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,VR房源
产证满二，社区品质高，生活气息浓郁,92万,"9,893元/平",园中园小区西区 -亭湖高中商圈,3室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,VR看装修
城南奥体旁 | 奥体壹号大三房| 看房有钥匙,152万,"12,064元/平",奥体壹號 -中南商圈,3室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,VR看装修
八菱华庄 精装大三房 南北通透 户型正 采光好 急售,240万,"17,329元/平",八菱华庄 -缤纷亚洲商圈,3室2厅 | 138.5平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,VR房源
绿洲豪庭 精装修满五唯一 含车库 采光好诚心出售,85万,"7,851元/平",绿洲豪庭 -盐都商圈,3室2厅 | 108.28平米 | 南 北 | 精装 | 低楼层(共13层)  | 板塔结合,VR看装修
此房长达北路西三巷46号 已满5年，拎包即住,75万,"10,000元/平",长达北路西三巷46号 -双元西路商圈,2室2厅 | 75平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,VR看装修
采光无影响，房子清爽干净，有钥匙随时可以看,164万,"13,360元/平",恒大帝景 -聚龙湖商圈,3室1厅 | 122.76平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,VR房源/随时看房
房东诚心出售 金色水岸 刚需两房，双阳台,140万,"16,827元/平",金色水岸 -聚龙湖商圈,2室1厅 | 83.2平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,VR看装修
房东诚心出售，品质毛坯，中高楼层采光好,39.8万,"7,957元/平",财富港 -中南商圈,1室1厅 | 50.02平米 | 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,VR房源/随时看房
南金鹰旁 新都花园 精装三房 楼层好带车库 拎包即住,84.8万,"9,475元/平",新都花园 -聚龙湖商圈,3室2厅 | 89.5平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,VR看装修/随时看房
领秀嘉园 精装四房拎包即住 采光无遮挡 满五唯一,185万,"14,342元/平",领秀嘉园 -中南商圈,4室2厅 | 129平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,VR看装修/随时看房
靠新弄里，阳光御园140平精装修，欢迎联系看房,180万,"12,882元/平",阳光御园 -中南商圈,4室2厅 | 139.74平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,VR房源
城东宝龙广场旁青年公寓房东诚心出售,40万,"5,883元/平",青年公寓 -盐城会展中心商圈,2室1厅 | 68平米 | 东南 | 简装 | 低楼层(共26层)  | 塔楼,VR房源
城南新弄里近 实用3房  总价低,150万,"16,060元/平",领秀嘉园 -中南商圈,3室1厅 | 93.4平米 | 南 | 精装 | 高楼层(共6层)  | 平房,VR房源
南海未来城城南佳源广场 品质小区,135.8万,"13,858元/平",佳源广场 -中南商圈,3室2厅 | 98平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,VR看装修/随时看房
永兴佳园大三房，低楼层，大车库，适合养老,112.8万,"8,428元/平",永兴佳园 -新四军纪念馆商圈,2室1厅 | 133.84平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,VR房源
东圣花园 多层中楼层 视野采光好 有车库,91万,"9,382元/平",东圣花园 -五星车站商圈,3室1厅 | 97平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,VR房源
东郊新村虹景苑 3房 新装修 老城区 交通方便 出门高架,72万,"7,747元/平",东郊新村虹景苑 -新四军纪念馆商圈,3室2厅 | 92.94平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,VR看装修/随时看房
产证满二，精装修，楼层好，采光充足，配套设施齐全,85万,"11,281元/平",园中园小区西区 -亭湖高中商圈,2室1厅 | 75.35平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,VR房源
佳源广场，品质小区，户型方正，小区眺望南海未来城,130万,"11,927元/平",佳源广场 -中南商圈,3室2厅 | 109平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,VR看装修/随时看房
聚亨路 新丰花园 精装两房 总价低,110万,"13,616元/平",新丰花园 -聚龙湖商圈,2室2厅 | 80.79平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,VR房源
东金鹰旁 高教公寓 精装修 看房有钥匙 诚售,120万,"9,303元/平",高教公寓 -盐城会展中心商圈,2室2厅 | 129平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,VR房源
金海中路好楼层，两居室，精装修，房东急卖,59.8万,"10,433元/平",供销职校楼 -东台市,2室2厅 | 57.32平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,VR看装修
佳源广场，品质小区，户型方正，诚心出售,128万,"13,062元/平",佳源广场 -中南商圈,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,VR房源/随时看房
星期日看房，房东平时上班，麻烦各位看房提前联系,199万,"23,012元/平",月湖花城 -潘黄商圈,2室1厅 | 86.48平米 | 南 | 简装 | 低楼层(共15层)  | 板楼,VR看装修
小区环境好 物业好 两房 精装修 楼层好 采光好,130万,"13,132元/平",中环紫郡 -聚龙湖商圈,3室2厅 | 99平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,VR看装修
高档装修，好楼层采光好，全屋地暖，拎包入住!,120万,"13,538元/平",凤凰文化广场 -聚龙湖商圈,2室2厅 | 88.64平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,VR看装修
首府壹号3-2-1-2 125.00m² 172.5 万,172.5万,"13,800元/平",首府壹号 -富康路商圈,3室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,VR房源
城东开发区 世纪大道旁 洲际逸品 毛坯大三房 有钥匙,110万,"8,605元/平",洲际逸品 -盐城会展中心商圈,3室2厅 | 127.84平米 | 南 | 毛坯 | 高楼层(共14层)  | 板楼,VR看装修/随时看房
首府壹号3-1-1-1 101.00m² 131 万,131万,"12,971元/平",首府壹号 -富康路商圈,3室1厅 | 101平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,VR房源
城南品质小区 洋房次顶楼 满二有车位,256万,"16,064元/平",中海万锦公馆 -中南商圈,4室2厅 | 159.37平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼,VR房源
城南，万锦公馆，三房两卫，采光好，交通便利，中海！,138万,"12,000元/平",中海万锦公馆 -中南商圈,3室2厅 | 115平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 塔楼,VR看装修/随时看房
此房精装，楼层好，视线好，位置好，配套设施齐全,93.8万,"8,491元/平",育才西路 -滨海公园商圈,2室1厅 | 110.47平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,VR房源/随时看房
中南四期精装三房  靠南附医中南城和新弄里  楼层佳！,128万,"12,852元/平",中南世纪城景城一期 -中南商圈,3室1厅 | 99.6平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,VR看装修
聚龙湖商圈 精装四房 出行方便 房东诚心出售,158万,"10,973元/平",阳光御园 -中南商圈,4室2厅 | 144平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,VR房源
临金大洋 月湖花城 精装2室 好楼层 诚心出售,138万,"13,818元/平",月湖花城 -潘黄商圈,2室2厅 | 99.87平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,VR看装修
万达旁 明新半岛花园 带车位 满两年 诚意出售,120万,"11,247元/平",明新半岛花园 -潘黄商圈,3室2厅 | 106.7平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,VR看装修/随时看房
装修好，满五唯一 采光充足，楼层好，位置佳,166万,"13,756元/平",阳光御园 -中南商圈,3室2厅 | 120.68平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,VR看装修
洋房带电梯3楼东边户大三房采光很好,155万,"14,408元/平",伯乐达城市御墅 -富康路商圈,3室1厅 | 107.58平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,VR看装修
明新半岛 满两年 位置好 配套设施完善,145万,"14,647元/平",明新半岛花园 -潘黄商圈,3室2厅 | 99平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,VR看装修
诚心出售 伟厦花苑 顶楼复式 随时看房,138万,"13,530元/平",伟厦花苑二期 -缤纷亚洲商圈,4室1厅 | 102平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,VR房源
都市名苑 150平 四室两厅两卫 高得房率 带朝南大车库,169.8万,"11,434元/平",都市名苑 -东台市,4室2厅 | 148.51平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,VR房源
小区前排 东边户 采光无影响 有车库车位,148万,"11,955元/平",奥体玫瑰园B区 -中南商圈,3室2厅 | 123.8平米 | 南 | 毛坯 | 低楼层(共29层)  | 板楼,VR看装修/随时看房
此房精装修，阳光灿烂，舒适温馨，房东诚心随时看房,160.8万,"9,746元/平",秀峰华庭 -东台市,4室2厅 | 165平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,VR看装修
出门就是步行街，环境优美，适宜各类人群居住,118万,"9,834元/平",东坝新村 -东台市,4室1厅 | 120平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,VR看装修
仁恒河北商业新村3房2厅1厨2卫，精装修，拎包入住！,192万,"12,321元/平",商业新村 -东台市,3室2厅 | 155.84平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,VR看装修
东园新村 楼层好 出让满五唯一,62.8万,"8,831元/平",东园新村 -东台市,2室2厅 | 71.12平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,VR看装修
和平小区 位置有三处教育设施 好楼层阳光不挡,82.8万,"7,309元/平",和平小区 -东台市,2室2厅 | 113.3平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,VR看装修/随时看房
此房精装修，设备全新，交通方便。。,89.9万,"9,280元/平",化建宿舍 -东台市,3室2厅 | 96.88平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,VR看装修/随时看房
铁家港公寓，精装三室 满五唯一，有车库,95万,"7,942元/平",铁家港公寓 -双元西路商圈,3室2厅 | 119.63平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,VR看装修
兴邦中央公园，240大平层，精装交付，品质小区,691万,"28,792元/平",兴邦中央公园 -中南商圈,4室2厅 | 240平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,VR看装修
长坝小区 中楼层 拎包 入住 诚心出售,68万,"7,664元/平",长坝小区 -双元西路商圈,3室1厅 | 88.73平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,VR房源/随时看房
南北朝向，交通便利，出入方便，精装修拎包入住,192.8万,"13,578元/平",万水清华 -东台市,3室1厅 | 142平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,VR房源/随时看房
户型合理，视野宽阔，诚心出售，看房方便,108.8万,"8,704元/平",东台荣润麒麟府 -东台市,3室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,VR看装修
东关公寓2-1-1-1 79.98m²,79.8万,"9,987元/平",东关公寓 -东台市,2室1厅 | 79.91平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,VR看装修
不是好房懒得推荐！南北通透两房,58.8万,"7,566元/平",泰山新村 -东台市,2室1厅 | 77.72平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,VR看装修
采光充足，视野开阔，诚心出售，交通方便.,79.8万,"9,389元/平",城中花园(东台市) -东台市,3室1厅 | 85平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,VR看装修
东关公寓，大三房，好楼层，采光刺眼，随时看房,125.8万,"9,340元/平",东关公寓 -东台市,3室1厅 | 134.7平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,VR房源
华建雅园精装三房 顶楼 诚意出售,110万,"11,112元/平",华建雅园 -亭湖高中商圈,3室2厅 | 99平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,VR房源
此房户型方正 阳光灿烂，出让证，小区方便停车环境好,138.8万,"11,599元/平",南城花园 -东台市,4室2厅 | 119.67平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,VR看装修
新兴社区工行宿舍2-2-1-1 94.00m² 89.8 万,89.8万,"9,513元/平",新兴社区工行宿舍 -东台市,2室2厅 | 94.4平米 | 南 | 简装 | 中楼层(共5层)  | 塔楼,VR房源/随时看房
满五唯一，低楼层，采光无遮挡，看房方便,90.6万,"7,985元/平",台城华府 -东台市,3室2厅 | 113.47平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,VR看装修
文正苑 系统房 精装五室 产证面积140实际面积170平,210.8万,"15,058元/平",聚诚文正苑 -东台市,5室2厅 | 140平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,VR看装修
出售 东亭一村全新装修阳光从早到晚出让满二过户不贵,77.6万,"9,258元/平",东亭一村 -东台市,3室2厅 | 83.82平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,VR看装修
紫薇花园毛坯三房 房东诚心出售 看房方便,278万,"20,309元/平",紫薇花园(亭湖区) -聚龙湖商圈,3室2厅 | 136.89平米 | 南 | 毛坯 | 高楼层(共6层)  | 塔楼,VR看装修
神州路 车苑华庭三房 精装修 有车库 满五诚心出售,105万,"9,054元/平",车苑华庭 -麦德龙商圈,3室2厅 | 115.98平米 | 南 北 | 简装 | 中楼层(共13层)  | 板楼,VR看装修
此房楼层好，视野开阔，房东诚心出售，看房提前联系.,118万,"14,881元/平",新苑小区一区 -缤纷亚洲商圈,2室1厅 | 79.3平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,VR看装修
市区长坝小区精装修两房 带车库 拎包即住产证81.13平,61万,"7,519元/平",长坝小区 -双元西路商圈,2室1厅 | 81.13平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,VR房源
兴邦中央公园，200飞机户大平层，精装交付，品质小区,490万,"24,500元/平",兴邦中央公园 -中南商圈,4室2厅 | 200平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,VR看装修
此房是书香名府朝南大车库精装修。,46.8万,"10,637元/平",书香名府 -东台市,车位 | 44平米 | 南  | 板塔结合,VR房源
房产证满二，小区自带商圈，配套设施齐全出行交通方便,108万,"7,575元/平",高教公寓 -盐城会展中心商圈,3室2厅 | 142.59平米 | 南 | 毛坯 | 低楼层(共14层)  | 板楼,VR房源
城南恒大帝景 精装修双卫户型 小区环境好 人车分流,143.8万,"11,727元/平",恒大帝景 -聚龙湖商圈,3室2厅 | 122.63平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,VR看装修/随时看房
步行街旁 好楼层 房东急售  交通便利,135万,"9,483元/平",鼓楼路79号 -东台市,3室1厅 | 142.37平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,VR房源
城南 恒大帝景 聚龙湖商圈 小区环境优美 交通便利,160万,"14,679元/平",恒大帝景 -聚龙湖商圈,3室2厅 | 109平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,VR看装修
此房配套齐全，采光好，业主诚意出售，拎包入住,160万,"11,540元/平",新民南路8号 -东台市,4室2厅 | 138.66平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,VR看装修
