园区名称,省份,城市,地区,详细地址,大约面积(亩),企业数
武宁县文旅数字经济产业园区,江西省,九江市,武宁县,武宁明珠中心,-,-
数字经济产业园,江西省,九江市,武宁县,坪上巨通小区南邻,-,380
江西泰盛国际智能家居产业园,江西省,九江市,武宁县,桐林大道1号,-,-
江西省现代服务业集聚区,江西省,九江市,武宁县,九岭大道与富安路交叉口东220米,-,15
万福经济技术开发区,江西省,九江市,武宁县,万福大道与杰浩路交叉口东北100米,-,-
嘉典集团市级创业孵化基地,江西省,九江市,武宁县,九江市武宁县S306(九岭大道),-,17
武宁县乡村大学生创新创业协会农业产业孵化园,江西省,九江市,武宁县,江西省九江市武宁县豫宁街道,-,5
武宁县电商新动能产业园,江西省,九江市,武宁县,九江市武宁县豫宁大道34号,-,16
江西武宁工业园区,江西省,九江市,武宁县,九江市武宁县协和大道68号附近,-,1
南市工业园,江西省,九江市,武宁县,九江市武宁县兴园路与杰浩路交叉路口北侧,-,4
千磁科技大众创业园,江西省,九江市,德安县,九江市德安县园艺场105国道旁,225,-
镁淇纺织服装产业园,江西省,九江市,德安县,九江市德安县科技一大道,153,-
德安陆路物流港,江西省,九江市,德安县,九江市德安县宝塔乡渊明大道南150米,136,393
江西水土保持生态科技园,江西省,九江市,德安县,九江市德安县德安大道西150米,88,-
德安县创业实训基地,江西省,九江市,德安县,九江市德安县德安大道与504乡道交叉口东南200米,40,5
德安县坤益科技创业园,江西省,九江市,德安县,九江市共青城市金纺路附近,39,4
德安县河东乡后田回乡创业园,江西省,九江市,德安县,九江市德安县105国道北50米,-,-
蓝调沙龙B区,江西省,九江市,德安县,九江市德安县南门路9号附近,-,5
德安县工业园,江西省,九江市,德安县,九江市德安县牌楼村正南方向200米,-,434
盛世创业光电产业园,江西省,九江市,德安县,德安县工业园宝塔园区西区燕沟河路6号,-,-
江西德安高新技术产业园区,江西省,九江市,德安县,九江市德安县德安大道工业园区,-,19
庐山市鄱湖高新科技项目区,江西省,九江市,庐山市,九江市庐山市上港阳,2533,192
庐山工业园区金鹿科技园,江西省,九江市,庐山市,九江市庐山市南康镇星子县工业园,102,12
楠盛红星羽绒产业园,江西省,九江市,庐山市,庐山市楠盛红星羽绒产业园,-,-
庐康中药谷产业园,江西省,九江市,庐山市,江西省九江市庐山市华林镇庐康中药谷产业园,-,1
庐山市农产品电商孵化中心,江西省,九江市,庐山市,九江市庐山市S212(环庐山公路),-,77
红星羽绒电商创业园,江西省,九江市,庐山市,横塘镇工业园,-,323
羽绒服电商创业园,江西省,九江市,庐山市,244县道南200米,-,1
庐山工业园,江西省,九江市,庐山市,九江市庐山市金鹿大道,-,4
井冈山经济技术开发区综合保税区,江西省,吉安市,吉安县,学园西路与嘉华大道交叉口西南60米,1826,117
吉安凤凰工业园,江西省,吉安市,吉安县,,1665,20
吉安县工业区,江西省,吉安市,吉安县,吉安高新技术产业园区内,529,56
泰伟江西产业园,江西省,吉安市,吉安县,吉安市吉安县建设大道与拓展大道交叉口东约100米,333,19
木林森高科技园,江西省,吉安市,吉安县,吉安市吉安县105国道东100米,301,54
吉安县工业园西区,江西省,吉安市,吉安县,朝阳路4正东方向190米,258,156
通讯终端产业城(合力泰工业园),江西省,吉安市,吉安县,井冈山经济开发区深圳大道,220,8
井冈山经开区管委会,江西省,吉安市,吉安县,深圳大道236号,155,63
吉安天泽工业园,江西省,吉安市,吉安县,,130,-
井冈山大学科技园,江西省,吉安市,吉安县,吉安市吉安县君山大道附近,130,40
吉安高新产业园,江西省,吉安市,吉安县,,127,131
新琪安(吉安)科技工业园,江西省,吉安市,吉安县,吉安市吉安县火炬大道与环岛北路交叉口西150米,127,-
六星工业园,江西省,吉安市,吉安县,吉安市吉安县创新大道与深圳大道交叉口西南150米,122,6
江西祥和物流园,江西省,吉安市,吉安县,吉安市吉安县吉安县农家饭店(747县道南),117,37
红米谷创新产业园示范基地,江西省,吉安市,吉安县,吉安市吉安县深圳大道273号,94,344
宏鑫工业园,江西省,吉安市,吉安县,宏鑫工业园区,86,-
江西省桑格尔产业园,江西省,吉安市,吉安县,吉安市吉安县深圳大道279号,83,2
江西欣吉富科技产业园,江西省,吉安市,吉安县,吉安市吉安县高新技术产业开发区凤凰区,81,-
中泰工业园(京九大道),江西省,吉安市,吉安县,吉安市吉安县京九大道269号,62,10
创业工业园(建设大道),江西省,吉安市,吉安县,吉安市吉安县井冈山经济技术开发区建设大道306号,61,112
永丰县生物医药产业园,江西省,吉安市,吉安县,君山大道152号,57,8
天益智网科技园,江西省,吉安市,吉安县,吉安市吉安县南山大道275号,56,1
蓝田伟光工业园,江西省,吉安市,吉安县,吉安市吉安县深圳大道282,52,2
红米谷大健康产业园,江西省,吉安市,吉安县,井冈山经济技术开发区君山大道152号,45,203
吉安航盛多媒体电子工业园,江西省,吉安市,吉安县,吉安市吉安县金山路6号,43,2
吉安高新技术产业园区,江西省,吉安市,吉安县,吉安市吉安县曙光路,39,48
长河工业园,江西省,吉安市,吉安县,吉安市吉安县凤凰工业园成达驾考隔壁,38,1
凤凰现代城,江西省,吉安市,吉安县,凤凰大道与吉安大道交叉口南160米,38,10
物联网产业园,江西省,吉安市,吉安县,吉安市吉安县深圳大道,35,56
鼎端科技园,江西省,吉安市,吉安县,大鹏大道与凤凰四路交叉口西南120米,32,-
金融产业园,江西省,吉安市,吉安县,吉安市吉安县君山大道,29,237
核工业·二六三大队吉安地质科技园,江西省,吉安市,吉安县,创新大道与深圳大道交叉口北100米,27,16
吉安国家高新技术产业开发区,江西省,吉安市,吉安县,吉安市吉安县凤凰大道与吉安大道交叉口东100米,18,15
吉安县青年创业孵化园,江西省,吉安市,吉安县,吉安市吉安县曙光路7号,18,40
优尔检测创新产业孵化园,江西省,吉安市,吉安县,高新技术服务业开发区电子信息产业园,-,-
梦创空间文创园,江西省,吉安市,吉安县,野火路与振兴路交叉口北100米,-,19
木林森产业园,江西省,吉安市,吉安县,吉安市吉安县南塘路,-,-
创业邻里中心,江西省,吉安市,吉安县,吉安市吉安县105国道北50米,-,2
江西圣亚物流园,江西省,吉安市,吉安县,吉安市吉安县物流大道(江西祥和物流园东南侧),-,-
鑫众农牧产业园,江西省,吉安市,吉安县,吉安县农家饭店(747县道南),-,1
天际光电产业园,江西省,吉安市,吉安县,吉安市吉安县G105与樟树塘路交叉口西南方向140米,-,39
运满满智慧园区,江西省,吉安市,吉安县,吉安市吉安县吉安县互通与物流大道交叉口东南100米,-,-
电商产业园,江西省,吉安市,吉安县,吉安市吉安县S314与物流大道交叉路口东南侧,-,1
井冈山出口加工区,江西省,吉安市,吉安县,吉安市吉安县南山大道与火炬大道交汇处,-,40
泰鑫台湾文化公园,江西省,吉安市,泰和县,嘉禾大道,344,330
优特丰工业园,江西省,吉安市,泰和县,西桥路与辉煌路交叉口西南300米,177,-
南方创新产业园,江西省,吉安市,泰和县,吉安市泰和县G105(京珠线),122,3
高新区触控显示产业园,江西省,吉安市,泰和县,泰和大道高新区触控显示产业园3栋,121,5
吉欧泰和科技园,江西省,吉安市,泰和县,吉安市泰和县泰和县工业园区县城内泰和工业园,113,1
泰和物流园,江西省,吉安市,泰和县,吉安市泰和县澄江镇319国道,80,20
江西泰和高新技术产业园区,江西省,吉安市,泰和县,吉安市泰和县井冈山大道附近,60,19
吉安泰和工业园,江西省,吉安市,泰和县,,57,14
泰和工业园创业区,江西省,吉安市,泰和县,吉安市泰和县双顺皮革有限公司附近,56,13
泰升工业园,江西省,吉安市,泰和县,泰垦西路与泰垦路交叉口南420米,36,4
裕源鑫智能产业园,江西省,吉安市,泰和县,吉安市泰和县泰和大道,33,2
文田工业区,江西省,吉安市,泰和县,吉安市泰和县石岭路1号,30,3
泰和电子智能终端产业园,江西省,吉安市,泰和县,吉安市泰和县泰和大道,20,1
全友科技园,江西省,吉安市,泰和县,吉安市泰和县江西双顺皮革有限公司附近,17,-
新博商·智慧谷,江西省,吉安市,泰和县,吉安市泰和县泰和县工业园区新博商,5,34
泰和孵化器,江西省,吉安市,泰和县,泰和大道西侧,-,12
新博商双创中心,江西省,吉安市,泰和县,江西省吉安市泰和县澄江镇,-,1
泰和县退役军人创业就业孵化中心,江西省,吉安市,泰和县,吉安市泰和县泰和大道东侧,-,12
泰和县高层次人才产业园,江西省,吉安市,泰和县,泰和大道西侧,-,12
泰和温岭产业园,江西省,吉安市,泰和县,吉安市泰和县站前北路,-,3
泰和县青年创新创业孵化基地,江西省,吉安市,泰和县,吉安市泰和县工农兵大道与经三路交叉口北200米,-,16
合力泰通用显示科技园,江西省,吉安市,泰和县,吉安市泰和县泰和工业园区泰和大道,-,17
江西生物谷食品科技工业园,江西省,吉安市,泰和县,吉安市泰和县井冈山大道附近,-,-
江西青之蘋科技产业园,江西省,吉安市,泰和县,吉安市泰和县泰垦路,-,1
中银富登村镇银行(白凤大道),江西省,吉安市,泰和县,吉安市泰和县澄江镇白凤大道3号,-,20
合力泰科技园,江西省,吉安市,泰和县,吉安市泰和县泰和县工业园区,-,-
万柱科技园,江西省,吉安市,泰和县,吉安市泰和县泰和县工业园区火车站站前路,-,3
泰和高新技术产业园,江西省,吉安市,泰和县,吉安市泰和县白凤大道261号,-,3
江西遂川工业园区,江西省,吉安市,遂川县,吉安市遂川县京珠线长盛小学南侧约230米,1124,37
遂川县工业区北区,江西省,吉安市,遂川县,吉安市遂川县创业大道38西北方向60米,753,118
吉安禾源石材工业园,江西省,吉安市,遂川县,,452,-
奥海科技园,江西省,吉安市,遂川县,泉江镇谐田村,310,1
吉安众光产业园,江西省,吉安市,遂川县,崛起大道,239,1
遂川鑫通联电子科技产业园,江西省,吉安市,遂川县,吉安市遂川县遂川县工业园区云岭,161,596
江西宝邦实业科技产业园,江西省,吉安市,遂川县,云岭工业集中区,119,26
江西志博信科技园,江西省,吉安市,遂川县,吉安市遂川县581乡道附近,52,-
通明科技园,江西省,吉安市,遂川县,吉安市遂川县雩云路,28,1
金海洋工业园,江西省,吉安市,遂川县,吉安市遂川县万有路4正西方向140米,12,-
龙星实业工业园,江西省,吉安市,遂川县,吉安市遂川县万有路4正西方向171米,8,2
枚江镇板鸭产业园,江西省,吉安市,遂川县,吉安市遂川县山里坑对面,-,1
江西省吉安市遂川县盛洋科技产业园(建设中),江西省,吉安市,遂川县,遂川县公安局交警大队园区中队东北侧290米,-,-
遂川县电子商务产业园,江西省,吉安市,遂川县,吉安市遂川县井冈山大道,-,46
遂川县工业区南区,江西省,吉安市,遂川县,雩田镇泉江工业区南区创业大道14号,-,1
砂子岭工业区,江西省,吉安市,遂川县,吉安市遂川县砂子岭狮山路,-,1
禾源石材工业园,江西省,吉安市,遂川县,吉安市遂川县弯里村附近,-,-
井冈山国家农业科技园,江西省,吉安市,吉州区,吉安市吉州区兴桥镇兴桥街61号,524,9
华耀科技产业园,江西省,吉安市,吉州区,金螺大道36号,191,6
吉安市吉州区机械装备产业园,江西省,吉安市,吉州区,吉安市吉州区君华大道,191,1
吉州区绿色食品产业园,江西省,吉安市,吉州区,兴桥镇绿色食品产业园,157,25
华通物流园,江西省,吉安市,吉州区,吉安市吉州区224省道附近,114,548
江西京鼎冷链物流产业园,江西省,吉安市,吉州区,兴隆路9号,107,-
吉州工业园1期,江西省,吉安市,吉州区,吉安市吉州区汗青路西150米,101,3
宏源科技园,江西省,吉安市,吉州区,吉安市吉州区工业园吉贤路(赣中物流旁),83,3
赣中快递电商物流园,江西省,吉安市,吉州区,长塘镇吉州工业园吉贤路,59,84
同为科技园,江西省,吉安市,吉州区,吉安市吉州区工业园小区3区,42,-
宏源PCB产业园,江西省,吉安市,吉州区,吉安市吉州区吉贤路与园区二路交叉口西约160米,-,-
江西吉州工业园,江西省,吉安市,吉州区,吉安市吉州区卧北段附近,-,31
江西数字物流产业园,江西省,吉安市,吉州区,吉安市吉州区吉庆路与图强路交叉口西北方向190米,-,1
吉安市林业科技示范园,江西省,吉安市,吉州区,吉安市吉州区林业科技示范园,-,-
吉安六星科技孵化园,江西省,吉安市,吉州区,吉安市吉州区君华大道,-,-
摩比科技产业园,江西省,吉安市,吉州区,吉安市吉州区工业园小区井冈山大道,-,4
飞信光电产业园,江西省,吉安市,吉州区,吉安市吉州区吉贤路东50米,-,-
中信华电子电路板工业城,江西省,吉安市,万安县,吉安市万安县万安县工业园831县道南50米,237,77
香港岩泉科技苑,江西省,吉安市,万安县,吉安市万安县创业大道11号,78,-
吉安河西工业区,江西省,吉安市,万安县,,66,31
联创宏声科技园,江西省,吉安市,万安县,五丰云州开发区鑫源二路,65,42
鸿西农业科技产业园,江西省,吉安市,万安县,万安县工业园二区桂罗段一江秋对面,62,-
澜浩鸿科技园,江西省,吉安市,万安县,第三工业区,50,1
索雅纳科技园,江西省,吉安市,万安县,吉安市万安县创业大道26号,47,5
创新创业园,江西省,吉安市,万安县,吉安市万安县鑫源一路26号,42,-
电子商务创业孵化园,江西省,吉安市,万安县,吉安市万安县五丰镇,20,172
中信华工业城,江西省,吉安市,万安县,万安县工业园831县道南50米,-,10
万安县村级集体经济产业园,江西省,吉安市,万安县,356国道与纵二路交叉口西280米,-,-
联创宏声科技园3区,江西省,吉安市,万安县,吉安市万安县鑫源二路1号,-,-
万安县电子信息产业园,江西省,吉安市,万安县,吉安市万安县X831(迎宾大道),-,6
万安县开发区,江西省,吉安市,万安县,吉安市万安县万安县工业园,-,1
城北工业区,江西省,吉安市,万安县,吉安市万安县万糖路东50米,-,1
万安县农业科技示范区,江西省,吉安市,万安县,吉安市万安县236省道东100米,-,1
万安生态水产科技园,江西省,吉安市,万安县,吉安市万安县824县道西50米,-,-
江西吉安河东经济开发区,江西省,吉安市,青原区,吉安市青原区文翔大道平湖小学北700米,1338,59
青原区新工业园,江西省,吉安市,青原区,吉安市青原区永安路,288,8
玛雅物流园,江西省,吉安市,青原区,科教路与庄塘路交叉口西北20米,274,3
富滩工业园A区,江西省,吉安市,青原区,吉安市青原区园区西路,246,14
吉安市梅林工业园区,江西省,吉安市,青原区,,221,1
青原区电子信息产业园,江西省,吉安市,青原区,吉安市青原区河东经济开发区,205,211
汽车文化产业园,江西省,吉安市,青原区,吉安市青原区青原大道以南物流汽贸中心8号地块,146,70
鼎超智造园,江西省,吉安市,青原区,吉安市青原区河东经济开发区河东大道14号,84,14
鼎超智造园青原区二期,江西省,吉安市,青原区,河东路,68,-
奥克文化创意园,江西省,吉安市,青原区,吉安市青原区学苑路27号奥克创意文化园,41,51
晶昶能(翊富新能源创新创业孵化基地),江西省,吉安市,青原区,腾飞路与东道交叉口西120米,-,-
知青文化创意园,江西省,吉安市,青原区,吉安市青原区G238与文博路交叉口西南方向170米,-,23
鑫昌现代商贸物流园,江西省,吉安市,青原区,吉安市青原区正气路16号南80米,-,18
富滩循环经济工业区,江西省,吉安市,青原区,吉安市青原区富杭路与七四四县道交叉口西100米正西方向70米,-,-
梅林工业园区,江西省,吉安市,青原区,吉安市青原区工业北路与嵩华路交叉口东南方向180米,-,-
吉安井大阳光城电商孵化产业园,江西省,吉安市,青原区,吉安市青原区丹青路与科教路交叉口西200米,-,382
永新县工业园区,江西省,吉安市,永新县,吉安市永新县卢湾大道与335省道交叉口南100米,657,58
茅坪工业区,江西省,吉安市,永新县,吉安市永新县319国道附近,173,169
吉安市小屋岭产业园,江西省,吉安市,永新县,,171,1
鸿讯通科技园,江西省,吉安市,永新县,吉安市永新县埠前镇小屋岭,44,-
永新工业园,江西省,吉安市,永新县,吉安市永新县建材一条街与站前东路交叉口北150米,34,24
易巴克产业园,江西省,吉安市,永新县,埠前镇易巴克产业园,17,-
永新县退役军人创业孵化基地,江西省,吉安市,永新县,未来城29栋二楼,-,2
永新县小微企业创业园,江西省,吉安市,永新县,湘赣大道223号靠近,-,68
永新县农业科技园,江西省,吉安市,永新县,吉安市永新县２２０国道与长亭段交叉口北约40米,-,-
捷壹众创电子商务产业园,江西省,吉安市,永新县,220国道与335省道交叉口西北340米,-,-
永新县光电玻璃产业园,江西省,吉安市,永新县,220国道与335省道交叉口西440米,-,5
永新水暖卫浴产业园,江西省,吉安市,永新县,220国道与335省道交叉口西440米,-,5
永新县电子商务产业园,江西省,吉安市,永新县,220国道与335省道交叉口西北340米,-,-
江西物联网智能制造示范园,江西省,吉安市,永新县,吉安市永新县永新县工业园区,-,-
宏诚商务园,江西省,吉安市,永新县,吉安市永新县禾川镇湘赣大道210号,-,125
新干箱包皮具产业园博派基地,江西省,吉安市,新干县,吉安市新干县新干县箱包基地11栋门面043-046西北方向80米,326,61
新干工业园(河西工业园),江西省,吉安市,新干县,吉安市新干县789县道东50米,222,61
赣中玻璃灯饰工业城(新干县玻璃工业城),江西省,吉安市,新干县,吉安市新干县赣玻二路,219,30
新干县城北工业园,江西省,吉安市,新干县,城北工业园区,167,-
新干县城南工业园,江西省,吉安市,新干县,吉安市新干县东兴路与园区大道交叉口西北150米,145,2
新干瑞和商贸物流园,江西省,吉安市,新干县,吉安市新干县金川北大道东侧城北花园正对面,105,213
新干县城南工业区,江西省,吉安市,新干县,城南工业园区,102,69
新干电商产业园(新干县城北电商产业园),江西省,吉安市,新干县,吉安市新干县金川北大道101正南方向130米,15,28
江西新干盐化工业城,江西省,吉安市,新干县,吉安市新干县一零五国道与盐化大道交汇处正北方向90米,-,-
江西新干大学生(青年)电子商务创业孵化基地,江西省,吉安市,新干县,江西省吉安市新干县金川镇江西新干大学生(青年)电子商务创业孵化基地,-,52
新干县电子商务创业孵化基地,江西省,吉安市,新干县,吉安市新干县川南西路塔峰新村1号电子商务创业孵化基地6层616房,-,43
新干县现代农业示范园,江西省,吉安市,新干县,吉安市新干县神政桥庄上村,-,5
新干县赣中林产工业城,江西省,吉安市,新干县,吉安市新干县沂江乡105国道西侧大洲村旁,-,70
新干县民营科技园,江西省,吉安市,新干县,吉安市新干县金川南大道161号,-,7
吉水电镀区,江西省,吉安市,吉水县,吉安市吉水县景旺大道,330,2
吉安市吉水县城南工业区,江西省,吉安市,吉水县,,120,10
吉安市八都工业园,江西省,吉安市,吉水县,,84,46
吉水工业园,江西省,吉安市,吉水县,江西省吉安市吉水县金滩镇吉水工业园,65,40
河西工业区,江西省,吉安市,吉水县,黄金大道与763县道交叉口北60米,28,6
吉水万尚·电子商务街区,江西省,吉安市,吉水县,吉安市吉水县X764与太华路交叉口西南方向160米,-,14
中宏众创产业园,江西省,吉安市,吉水县,吉安市吉水县龙华大道,-,80
江西省级小微企业创业园国家中小企业创业基地,江西省,吉安市,吉水县,吉安市吉水县天松路(井冈山经贸学校东北侧约250米),-,2
中宝众创产业园,江西省,吉安市,吉水县,八都北大道与龙华大道交叉口东40米,-,5
吉水同江万亩稻渔产业园,江西省,吉安市,吉水县,江西省吉安市吉水县盘谷镇,-,-
吉水电商产业园,江西省,吉安市,吉水县,吉安市吉水县仁山路5号,-,14
吉安八都现代农业示范园,江西省,吉安市,吉水县,吉安市吉水县八都镇,-,9
八都工业园,江西省,吉安市,吉水县,吉安市吉水县工业园路与八都南大道交叉路口西北侧,-,21
吉水标准产业园,江西省,吉安市,吉水县,吉安市吉水县景旺大道,-,-
永丰城北工业园,江西省,吉安市,永丰县,吉安市永丰县北区一路,424,50
永丰生物医药产业园,江西省,吉安市,永丰县,恩江镇工业园区生物医药产业园11号(管委会对面),258,79
永丰矿产科技园,江西省,吉安市,永丰县,吉安市永丰县银河路,254,-
吉安永丰县工业区,江西省,吉安市,永丰县,,126,6
永丰县物流园,江西省,吉安市,永丰县,吉安市永丰县迎宾大道北50米,95,78
吉安市永丰现代农业科技园,江西省,吉安市,永丰县,,63,-
江西华迈工业园,江西省,吉安市,永丰县,S46抚吉高速附近,34,-
永丰新材料产业园,江西省,吉安市,永丰县,吉安市永丰县东城大道,-,35
永丰县工业区,江西省,吉安市,永丰县,吉安市永丰县工业大道,-,13
中兴工业城,江西省,吉安市,永丰县,吉安市永丰县工业大道南50米,-,46
广源化工粉体材料应用产业园,江西省,吉安市,永丰县,吉安市永丰县永丰县工业园区广源化工,-,-
峡江县工业园区,江西省,吉安市,峡江县,吉安市峡江县城南工业园区,2597,99
峡江县民营科技园,江西省,吉安市,峡江县,吉安市峡江县工业五路附近,876,112
峡江县第一中心粮库(固源)粮食物流园,江西省,吉安市,峡江县,吉安市峡江县马埠镇固源村北,243,2
峡江工业园河西聚集区,江西省,吉安市,峡江县,规划西三路与规划南一路交叉口西北340米,213,2
峡江县大健康产业园,江西省,吉安市,峡江县,吉安市峡江县峡江工业园河西聚集区434省道与振兴大道路口南,128,77
峡江县智能制造产业园,江西省,吉安市,峡江县,峡江工业园河西聚集区322国道与振兴大道路口,104,11
峡江县电子商务产业园,江西省,吉安市,峡江县,吉安市峡江县玉笥大道彩云路口,14,7
峡江县宝林科技园,江西省,吉安市,峡江县,吉安市峡江县G105(京珠线),-,-
金坪华侨农场创业园,江西省,吉安市,峡江县,农家乐东南侧,-,1
海峡花卉园,江西省,吉安市,峡江县,吉安市峡江县水边镇人寿保险公司96号,-,6
峡江县农业示范科技园,江西省,吉安市,峡江县,吉安市峡江县105国道东50米,-,-
东精达科技园,江西省,吉安市,安福县,机电大道西北侧,53,-
维客泰美电商科创园,江西省,吉安市,安福县,机电大道888号,40,10
龙威环保科技园,江西省,吉安市,安福县,吉安市安福县机电大道维客泰美电商科创园,16,1
安福县创业孵化基地,江西省,吉安市,安福县,振兴大道西北侧,-,97
安福先进装备制造产业孵化基地,江西省,吉安市,安福县,机电大道与世纪大道交叉口西北420米,-,-
江西流星工业园,江西省,吉安市,安福县,吉安市安福县安华大道,-,-
江西安福工业园,江西省,吉安市,安福县,吉安市安福县泸水河大道附近,-,-
南铁安福工区,江西省,吉安市,安福县,吉安市安福县人火线西50米,-,-
安福县校办工业园,江西省,吉安市,安福县,吉安市安福县安福县工业园,-,1
诺亚信息产业园,江西省,吉安市,井冈山市,吉安市井冈山市新城区三环路1号,141,1
井冈山智能物联网产业园,江西省,吉安市,井冈山市,吉安市井冈山市２２０国道与八面山大道交叉口西南约180米,140,6
井冈山绿色食品产业园,江西省,吉安市,井冈山市,吉安市井冈山市厦坪镇口前山村村民委员会正南方向120米,49,360
井冈山新经济产业园(井财小镇),江西省,吉安市,井冈山市,吉安市井冈山市区厦坪镇口前山村村民委员会东南方向70米,21,1089
古城工业园,江西省,吉安市,井冈山市,吉安市井冈山市864县道,-,-
白银湖农家乐聚集区,江西省,吉安市,井冈山市,吉安市井冈山市林场白银湖下村39栋东北方向150米,-,-
上饶经济技术开发区,江西省,上饶市,广信区,大鹏西大道与武夷山大道交叉口西北50米,7808,790
上饶茶亭经济开发区,江西省,上饶市,广信区,上饶市广信区上分线东50米,7516,283
上饶经济开发区黄源片区,江西省,上饶市,广信区,上饶市广信区一纬路南50米,3427,157
新能源汽车核心零部件产业园,江西省,上饶市,铅山县,上饶市广信区武夷山大道,1104,8
中国光学城,江西省,上饶市,广信区,上饶市经济开发区聚远路26号,1067,68
三江工业园,江西省,上饶市,广信区,上饶市广信区工业大道与林荫路交叉口东北50米,636,75
汽车关键零部件产业园区B区(建设中),江西省,上饶市,广信区,光伏路与友谊路交叉口西北260米,633,-
新华龙·汽车物流智慧港,江西省,上饶市,广信区,上饶市广信区三清山西大道51号,481,256
上饶现代农业园区,江西省,上饶市,广信区,上饶市广信区皂佛段东50米,349,-
上饶彩诚工业物流园,江西省,上饶市,广信区,上饶市广信区董团乡凤凰西大道301号,335,123
一舟大数据产业园,江西省,上饶市,广信区,上饶市广信区迎宾大道7号,274,3
中国汽车零部件(上饶)产业基地,江西省,上饶市,广信区,上饶市广信区凤凰大道西,201,28
盛奇光学产业园,江西省,上饶市,广信区,上饶市广信区龙门路与兴业大道交汇处,194,37
光伏新能源产业园,江西省,上饶市,广信区,上饶市广信区兴业大道99号,192,15
上饶市瑞达表面精饰产业园,江西省,上饶市,广信区,创谷一路与创谷二路交叉口西260米,174,-
崧宸实业物流园,江西省,上饶市,广信区,上饶市广信区董团乡上饶市经济开发区新科大道219号,150,40
上饶市金融产业园,江西省,上饶市,广信区,经济技术开发区创新大道27号,118,22
上饶市创意产业园,江西省,上饶市,广信区,经济技术开发区创新大道160号,108,-
江西·南洋高科园,江西省,上饶市,广信区,上饶市广信区广信区茶亭镇(近320国道),101,-
六号数字智慧共享产业园,江西省,上饶市,广信区,兴业大道16号小呗出行,101,32
上饶经开区智慧园区(上饶双创科技城),江西省,上饶市,广信区,上饶市广信区双创科技城,61,198
大业东方企业园,江西省,上饶市,广信区,上饶市广信区经济开发区茶亭工业园,54,170
江西星汉光学产业园,江西省,上饶市,广信区,兴业大道15号光学基地,45,10
上饶经济技术开发区光电孵化园二期,江西省,上饶市,广信区,上饶市广信区经济开发区,44,27
松江之光产业园,江西省,上饶市,广信区,上饶市广信区广信区经济技术开发区金光大道龙门路创谷一路,39,30
合创汇光电信息科技园,江西省,上饶市,广信区,汉腾大道与聚远路交叉口北200米,36,3
上饶数字文化创意园(阳光时代),江西省,上饶市,广信区,上饶市广信区凤凰西大道76号阳光时代附近,26,655
江西邮政(上饶)电商智慧产业园,江西省,上饶市,广信区,上饶市广信区旭日北大道与627县道交汇处东北侧,24,-
汉氏联合健康科技园,江西省,上饶市,广信区,上饶市广信区蓝江路,20,-
经开区江铜(上饶)工业园区,江西省,上饶市,广信区,园三路与耐普大道交叉口东南160米,-,-
饶商回归产业园(建设中),江西省,上饶市,广信区,枫岭头镇嘉靖村,-,11
上饶经开区返乡创业园,江西省,上饶市,广信区,上饶市广信区世纪大道西50米,-,-
上饶国家农业科技园,江西省,上饶市,广信区,上饶市广信区上饶市广信区,-,-
江西省绿颜康现代农业产业园,江西省,上饶市,广信区,上饶市广信区五府山镇高州村,-,-
上饶现代农业科技园,江西省,上饶市,广信区,上饶市广信区兴业大道与金光大道交叉口西北50米,-,15
上饶凤凰工业园,江西省,上饶市,广信区,上饶市广信区龟峰大道与627县道交叉口北150米,-,-
上饶木雕创意产业基地,江西省,上饶市,广信区,上饶市广信区茶厅白沙居委会旁,-,1
上饶利精蜜蜂产业园,江西省,上饶市,广信区,上饶市广信区皂佛段西50米,-,-
万年国际珍珠城,江西省,上饶市,万年县,正大西街8号,265,149
万年康佳产业园,江西省,上饶市,万年县,上饶市万年县叁陆科技有限公司正对面,229,8
万年县工业区,江西省,上饶市,万年县,上饶市万年县创业中路东50米,126,9
江西电子商务双创城,江西省,上饶市,万年县,上饶市万年县上坊乡万盛大道,119,13
石镇镇特色工业园区,江西省,上饶市,万年县,上饶市万年县石镇G206西侧,86,15
索普信产业园,江西省,上饶市,万年县,上饶市万年县创业中路与建业路交叉口西北50米,80,1
百思利产业园,江西省,上饶市,万年县,陶源路6号,-,-
万年县珍珠文化产业园,江西省,上饶市,万年县,江西省上饶市万年县陈营镇,-,-
万年县创新创业孵化中心,江西省,上饶市,万年县,上饶市万年县锦园南路,-,2
返乡创业园,江西省,上饶市,万年县,上饶市万年县创业路,-,-
万年县国米文化生态产业园,江西省,上饶市,万年县,上饶市万年县万盛大道东,-,-
江西联创(万年)电子产业园,江西省,上饶市,万年县,江西省上饶市万年县陈营镇,-,1
江西万年高新区,江西省,上饶市,万年县,上饶市万年县陈营镇万盛大道公共资源交易中心附近,-,-
万年县返乡农民工创业园,江西省,上饶市,万年县,上饶市万年县万盛大道与经三路交叉口南100米,-,68
丰收工业园,江西省,上饶市,万年县,上饶市万年县建德大街,-,37
万年建材电商产业园,江西省,上饶市,万年县,上饶市万年县万盛大道与经三路交叉口南100米,-,69
万年鹏程服装产业园,江西省,上饶市,万年县,上饶市万年县创业路与建业大街交叉路口往东约140米,-,23
江西群牛产业园,江西省,上饶市,万年县,上饶市万年县锦德路北50米,-,1
江西万年高新技术产业园区,江西省,上饶市,万年县,上饶市万年县创业中路东50米,-,-
