名称,总价,每平方单价,小区名称,地址,房型,面积,朝向,楼层,建造时间
业主换房诚心出售，满五年，福外南旁，空置  ,570万,48718元/㎡,福源花园(一二期),福田-保税区-槟榔道9号,4室2厅2卫,117㎡,北,低层(共11层),1996年建造
湖景花园 3字头 看洪湖全景 业主诚心放卖 看房约 价格可谈,370万,43367元/㎡,湖景花园,罗湖-洪湖-洪湖路34号,3室2厅1卫,85.32㎡,西南,中层(共32层),1997年建造
香港业主 40W全抛 银行按揭 红本过户 送车位 下楼地铁,70万,15385元/㎡,石岩老街自建房,宝安-石岩-老街路,3室2厅2卫,45.5㎡,南,中层(共12层),2019年建造
（业主置换本小区大面积）诺德假日品质社区66平客厅出阳台,578万,87180元/㎡,诺德假日花园,南山-前海-前海路0369号,2室2厅1卫,66.3㎡,南北,低层(共32层),2008年建造
业主急售 六约地铁A口锦荟花园精装大四房 随时看房 价格美丽,489万,37916元/㎡,锦荟PARK,龙岗-横岗-龙岗大道,4室2厅2卫,128.97㎡,南北,低层(共40层),2015年建造
新政持续发力，三房的价格买四房，安静看小区花园,668万,77083元/㎡,星河传奇,龙华-民治-民塘路,4室2厅2卫,86.66㎡,东南,低层(共39层),2016年建造
得房好 满五 中间楼层采光好 正规商品房 商业配套齐全,758万,64992元/㎡,景桦花园,福田-景田北-商报路1号,3室2厅2卫,116.63㎡,西北,中层(共11层),1997年建造
天然居南向大三房，看房方便,1198万,110926元/㎡,天然居,福田-景田北-景田北街1号,3室2厅2卫,108㎡,西南,低层(共31层),2002年建造
正南朝向 临地铁 商圈成熟 近医院 满五   产权清晰,850万,80953元/㎡,长城二花园,福田-百花-百花六路27号,3室2厅1卫,105㎡,南,中层(共18层),1992年建造
笋爆了！35x，近地铁，次新小区，看房方便，价格实在,390万,45953元/㎡,悠山美地家园,龙华-大浪-布龙路,3室2厅2卫,84.87㎡,南北,中层(共29层),2015年建造
祥福雅居东南三房诚售 高楼层看洪湖公园 视野无遮挡 税费少,450万,55501元/㎡,祥福雅居,罗湖-笋岗-宝岗路33号,3室2厅1卫,81.08㎡,东南,高层(共31层),2006年建造
三期经典的3 1户型，满园绿意推窗而至，生活就在眼前！,1398万,119529元/㎡,蔚蓝海岸(三期),南山-后海-登良路8号,4室2厅2卫,116.96㎡,西北,中层(共18层),2003年建造
美荔园 环境好 购物方便 双卫 临地铁 精装修,660万,58408元/㎡,美荔园,罗湖-蔡屋围-红岭中路1018号,3室2厅2卫,113㎡,南北,高层(共30层),2006年建造
桂芳园六期带露台，中高楼层，价格可议,359万,38728元/㎡,桂芳园(五六期),"布吉-大芬-中翠路,近深惠公路",3室2厅2卫,92.7㎡,南北,中层(共18层),2005年建造
急抛！ 秒杀价！ 合正观澜汇阔气大3房 位置,415.1万,51502元/㎡,合正观澜汇(一期),龙华-观澜-观澜大道115号,3室2厅1卫,80.6㎡,南,高层(共29层),2018年建造
弘雅花园少有户型，业主资金周转可谈，懂的来,558万,49738元/㎡,雅豪轩,宝安-新安-建安一路502号,3室2厅2卫,112.19㎡,东南,中层(共12层),2001年建造
万丰海岸城南北户型~明厨明卫采光好~看房随时~拎包入住,422万,46889元/㎡,万丰海岸城,宝安-马安山-万丰中路245号,3室2厅2卫,90㎡,南北,低层(共46层),2018年建造
石芽岭地铁口 复式精装四房两卫 朝南看花园 高实用 满五少税,580万,68802元/㎡,来座山,布吉-慢城-科技园路,4室2厅2卫,84.3㎡,南,低层(共32层),2010年建造
业主85折出售特发和平里(二期)靠谱急售 地铁口 精装好房,430万,48018元/㎡,特发和平里(二期),龙华-龙华-民塘路566号,3室2厅2卫,89.55㎡,南北,中层(共49层),2015年建造
柏林君瑞使用率大，三房全明户型，南北通透,445万,50000元/㎡,博林君瑞,"宝安-沙井-中心路,近上星南路",3室2厅2卫,89㎡,南北,高层(共32层),2018年建造
松茂双龙抱珠南北通双阳台   户型使用率过百  业主急急急,850万,94708元/㎡,松茂御龙湾,宝安-碧海湾-银田路,3室2厅2卫,89.75㎡,南北,中层(共31层),2017年建造
下沙地铁口旁边小三房398万,398万,47012元/㎡,泰然广场,福田-车公庙-滨河大道9309号,3室2厅1卫,84.66㎡,南北,高层(共7层),1998年建造
奢华的房源，朴实的价位，您为此停留而选择!,425万,51255元/㎡,佳兆业新都汇,布吉-木棉湾-龙岗大道1号,3室2厅1卫,82.92㎡,西北,中层(共38层),2015年建造
南山一号线桃园地铁口，精装修三房，新出好盘业主急卖，价格可谈,468万,64313元/㎡,如意家园,南山-南头-常兴路102号,3室2厅1卫,72.77㎡,南北,低层(共18层),2003年建造
真的不敢相信  这价格都能买,1600万,78950元/㎡,蓝郡广场,盐田-沙头角-海景二路1039号,4室2厅3卫,202.66㎡,南,高层(共34层),2010年建造
新上东南向两房拎包即住！业主已换同小区三房急售！刚需好房,540万,69276元/㎡,东郡百仕达花园(四期),罗湖-水库-太宁路38号,2室2厅1卫,77.95㎡,东南,高层(共29层),2005年建造
博林君瑞全明户型，业主诚心出售价格可谈,480万,53957元/㎡,博林君瑞,"宝安-沙井-中心路,近上星南路",3室2厅2卫,88.96㎡,南北,低层(共32层),2018年建造
大特价！老板要钱不要房了，卖完回老家！,341万,37477元/㎡,龙光玖钻,龙华-民治-中梅路,3室2厅2卫,90.99㎡,南北,中层(共34层),1997年建造
总价5字头，2000年竣工，楼梯房实用率高，小区生活,670万,66337元/㎡,安通花园,福田-景田北-景田东路36号,3室2厅2卫,101㎡,南北,中层(共8层),1997年建造
新华中 学 锦绣御园  全新精装小三居 赠送转角大阳台,358万,50694元/㎡,锦绣御园,龙华-龙华-高翔路28号,3室2厅1卫,70.62㎡,南北,低层(共32层),2013年建造
坂田雪象地铁口精装两房，总价260万，单价仅四万， 配套成熟,260万,38343元/㎡,高发悦驰苑,龙岗-坂田-坂澜大道,2室2厅1卫,67.81㎡,南,低层(共21层),2019年建造
慢城4房 精装修  东南向  满五年 税少 14号线地铁口,390万,44369元/㎡,慢城(一二三期),布吉-慢城-科技园路8号,4室2厅2卫,87.9㎡,南北,低层(共22层),2010年建造
次新豪装三房，实用方正设计巧妙，婚房装修拎包入住，满五税少,450万,50728元/㎡,润科华府,"宝安-桃源居-洲石路,近鹤洲路",3室2厅2卫,88.71㎡,西南,中层(共30层),2017年建造
  星源3房1卫  满五    高层采光好 看房方便。,270万,30372元/㎡,中环阳光星苑,龙岗-平湖-科园西路,3室2厅1卫,88.9㎡,南北,高层(共33层),2019年建造
大复式四房三卫 赠送111平 高层视野开阔 现楼仅契税,798万,44334元/㎡,鹏广达湾区壹号,盐田-盐田-东海四街,4室2厅3卫,180㎡,南北,中层(共58层),2023年建造
新上笋盘，山姆旁宜居大社区，一梯两户南北通透大4房，位置安静,708万,61835元/㎡,阳光棕榈园,南山-前海-前海路2057号,4室2厅2卫,114.5㎡,南北,中层(共7层),2004年建造
恒二1栋带80平空中庭院的特殊户型，精装保养良好,5600万,278816元/㎡,恒裕滨城(二期),南山-后海-中心路2001号,4室2厅3卫,200.85㎡,南北,低层(共46层),2018年建造
凤凰世纪花园装修好~楼层好~看房有钥匙~诚意出售~环境好,118万,13883元/㎡,凤凰世纪花园,宝安-塘尾-大洋路168号,3室2厅1卫,85㎡,南北,中层(共12层),2018年建造
近期必卖（南向3房，价格笋）壹海城旁，地铁口200米,325万,37760元/㎡,碧海蓝天明苑,盐田-沙头角-海涛路140号,3室2厅2卫,86.07㎡,南,高层(共32层),2002年建造
麟恒中心广场(三期) 次新房 近地铁 楼下沃尔玛 精装修,380万,42223元/㎡,麟恒中心广场(三期),龙岗-横岗-龙岗大道横岗段2999号,3室2厅2卫,90㎡,南,中层(共45层),2021年建造
(中心城热点小区！业主嘎嘎   红五税费少 绝绝子！看房方便,395万,45840元/㎡,万科天誉(二期),"龙岗-龙岗中心城-龙翔大道,近德政路",3室2厅2卫,86.17㎡,南北,低层(共41层),2017年建造
同户型86XX  石厦三房两卫,900万,86340元/㎡,合正佳园,福田-石厦-益田五路3011号,3室2厅2卫,104.24㎡,南,中层(共25层),2003年建造
（好房推荐）深小桂园在 350出 低指导价120 租6800,418万,62129元/㎡,嘉年华名苑,罗湖-洪湖-晒布路18号,2室2厅1卫,67.28㎡,南北,中层(共31层),2003年建造
罗湖口岸超大两房急售，价格可议,330万,38261元/㎡,双城世纪大厦,罗湖-人民南-沿河南路1021号,2室2厅1卫,86.25㎡,南北,中层(共33层),2005年建造
御景翠峰4房 临地铁 东南朝向  豪华装修 使用面积大,530万,59384元/㎡,御景翠峰,盐田-沙头角-深盐路1044号,4室2厅4卫,89.25㎡,东南,低层(共32层),2015年建造
业主再次调价 紧急出售 看房方便 满五  产权,450万,63381元/㎡,前海金岸,南山-南头-桃园路122-5号,2室2厅1卫,71㎡,南,低层(共28层),2008年建造
尚水天成 朝南大三房总价低 诚心卖 满五  ,435万,49175元/㎡,尚水天成,布吉-下水径-吉华路299号,3室2厅2卫,88.46㎡,南,中层(共33层),2016年建造
二卫二卫！出价即卖！ 合正观澜汇精装3房  税少 位置安静,371万,46030元/㎡,合正观澜汇(一期),龙华-观澜-观澜大道115号,3室2厅2卫,80.6㎡,南北,中层(共31层),2018年建造
百花 电梯房 满五 双卫生间 东南朝向 商业配套成熟 近地铁,1250万,116921元/㎡,百花公寓一期,福田-百花-百花三路5号,3室2厅2卫,106.91㎡,东南,中层(共32层),2020年建造
名津东无遮挡大两房 随时电话约看  找小贾钜惠！！！,440万,68750元/㎡,金地名津,福田-皇岗-裕亨路3号,2室2厅1卫,64㎡,东,中层(共32层),2008年建造
流塘阳光 电梯房 正规商品房 精装可拎包入住 近医院 双卫,750万,85092元/㎡,流塘阳光,宝安-流塘-工业路77号,4室2厅2卫,88.14㎡,南北,低层(共30层),2015年建造
深圳北站红山地铁口！精装3房 下楼商场，学 校近，红本满5,460万,50191元/㎡,红山6979,龙华-民治-民繁路,3室2厅2卫,91.65㎡,南,高层(共13层),2021年建造
在寂静中品味，在喧闹中生活，此房深情并茂！品质小区,80万,16000元/㎡,亚钢1号,龙岗-平湖-富安大道,2室2厅1卫,50㎡,南北,高层(共88层),2023年建造
您的满意，我的追求！亚钢1号给力房源,130.6万,16319元/㎡,亚钢1号,龙岗-平湖-富安大道,3室2厅2卫,80㎡,南北,共5层,2020年建造
南山次新楼龄，环境好，配套完善,710万,94003元/㎡,豪方天际,南山-科技园-北环大道11008号,3室2厅1卫,75.53㎡,西北,中层(共47层),2017年建造
深高北四房 业主自住装修 诚售南向 安静 近地铁口物业,1200万,128343元/㎡,金亨利瑜璟苑,龙华-深圳北站-白松一路118号,4室2厅2卫,93.5㎡,南北,中层(共28层),2018年建造
汇宾广场 商业配套成熟 满五 电梯房 精装可拎包入住 楼层好,460万,61473元/㎡,汇宾广场,南山-蛇口-东滨路4325号,2室1厅1卫,74.83㎡,南,中层(共32层),2002年建造
星盛华庭~3居室~空间大~低楼层~主卧客厅朝南~看房有钥匙,155万,17416元/㎡,星盛华庭,宝安-沙井-上德路,3室2厅2卫,89㎡,南北,中层(共17层),2017年建造
沙井海岸城对面 博林大三房 满五年 自带大型商业,410万,46623元/㎡,博林君瑞,"宝安-沙井-中心路,近上星南路",3室2厅2卫,87.94㎡,南北,中层(共33层),2018年建造
碧海小洋房，自带花园大露台，全屋智能家居,1280万,75326元/㎡,泰华阳光海,宝安-碧海湾-悦和路6号,6室2厅3卫,169.93㎡,南北,共4层,2004年建造
公务员大社区新出大三房，户型通透方正，价格可谈,420万,45653元/㎡,宝安新村,宝安-新安-流塘路333号,3室2厅1卫,92㎡,南北,中层(共8层),1995年建造
小区开阔，视野看公园，方正两房出售！,490万,66056元/㎡,长城盛世家园(二期),福田-彩田村-彩云路1号,2室2厅1卫,74.18㎡,西北,低层(共34层),2004年建造
地铁口 大阳台两房 万科里旁边 楼下   业主换房诚心出售,205万,28382元/㎡,东方明珠城,龙岗-龙岗中心城-龙河路19号,2室2厅1卫,72.23㎡,南北,低层(共32层),2008年建造
华强北，交通方便，花园式小区,1250万,86279元/㎡,海馨苑,福田-百花-华强北路4005号,4室2厅2卫,144.88㎡,东南,低层(共29层),2008年建造
新政首套20%二套30% 荔园西红岭双优配套，低总价,550万,73158元/㎡,航天立业华庭,福田-华强北-振华路21号,2室2厅1卫,75.18㎡,南,高层(共29层),2002年建造
四期大三房 朝南看小区安静 楼层好 价格可以谈 看房方便,380万,43810元/㎡,万科公园里,布吉-南岭-樟富北路8号,3室2厅2卫,86.74㎡,南,中层(共45层),2017年建造
业主自住物业 改动很成功的方正三房 产权好仅需契税！,820万,93501元/㎡,莱蒙水榭春天(五期),龙华-民治-民塘路,3室2厅1卫,87.7㎡,南北,中层(共30层),2013年建造
红本满五年税费少！！坪山外国语旁~沙田地铁站附近！价格可谈,84万,18928元/㎡,丹梓龙庭,坪山-坑梓-丹梓大道3033号,4室2厅2卫,44.38㎡,南,低层(共28层),2012年建造
东海花园二期，正规三房，看房随时方便，业主诚心出售,1580万,137835元/㎡,东海花园(二期),福田-香蜜湖-香林路22号,3室2厅2卫,114.63㎡,西南,低层(共31层),2000年建造
左看世贸地标，右看  体育馆，正规大三房俩卫，次新小区,440万,46438元/㎡,京基御景中央(二期),龙岗-大运-飞扬路,3室2厅2卫,94.75㎡,南北,高层(共33层),2018年建造
万科星城三房笋盘出售，价格可谈，满五  ，密码随时看房,350万,43115元/㎡,万科星城上郡,宝安-马安山-永荣路,3室2厅2卫,81.18㎡,东南,低层(共45层),2018年建造
华强南花园泳池社区，精装大两房，近地铁口！,430万,67942元/㎡,京基御景华城,福田-赤尾-滨河大道3001号,2室2厅1卫,63.29㎡,东南,高层(共34层),2005年建造
光明一号精装三房，居住舒适！,350万,39589元/㎡,光明1号,光明-光明-光明大道,3室2厅1卫,88.41㎡,东北,低层(共33层),2016年建造
急卖！红本满五年税费少！装修3房 坪山外国语，沙田地铁站附近,165万,18746元/㎡,丹梓龙庭,坪山-坑梓-丹梓大道3033号,3室2厅2卫,88.02㎡,北,低层(共28层),2012年建造
报价271~低265~价格还可谈~满五年业主急售的！精装修！,350万,42809元/㎡,满京华喜悦里华庭,龙岗-龙岗中心城-银翠路6号,3室2厅1卫,81.76㎡,东南,低层(共32层),2014年建造
城际轨道旁大3房！高层居家舒适！满五红本看房方便，楼下沃尔玛,478万,54220元/㎡,金港华庭,宝安-西乡-宝安大道4009号,3室2厅1卫,88.16㎡,南北,高层(共31层),2009年建造
大学城豪宅标杆，业主急卖需要资金，价格还有很大空间，满五  ,938万,105905元/㎡,宝能城花园(东区),南山-大学城-留仙大道3288号,3室2厅2卫,88.57㎡,西南,低层(共45层),2018年建造
福外旁次新住宅，高楼层视野好 交通便利，业主急售,599万,88479元/㎡,华盛领寓,福田-景田北-北环大道7039号,3室2厅1卫,67.7㎡,南北,高层(共28层),2008年建造
龙华北站壹号 开发商保留单位 精装现楼,500万,53580元/㎡,华侨城创想大厦云邸,龙华-深圳北站-民塘路,2室2厅1卫,93.32㎡,南北,高层(共43层),2017年建造
紧邻地铁，周边配套设施齐全，性价比超高，润城润府三期,1138万,128399元/㎡,华润城润府三期,南山-科技园-铜鼓路36号,2室2厅1卫,88.63㎡,南,高层(共54层),2019年建造
豪方特殊户型  厅出阳台 带100多平的大露台 可以聚餐养花,600万,80000元/㎡,豪方天际,南山-科技园-北环大道11008号,3室2厅1卫,75㎡,南北,低层(共47层),2017年建造
小区绿化高 近地铁 楼层好 大两居 东南朝向 商品房,980万,110597元/㎡,半山海景兰溪谷(二期),南山-蛇口-沿山路6号,2室2厅1卫,88.61㎡,东南,中层(共31层),2007年建造
东南向高层精装   三房全明户型  超笋盘  看房方便,305.6万,38557元/㎡,玺悦山,盐田-盐田-中青一路,3室2厅1卫,79.26㎡,东南,中层(共32层),2017年建造
天鹅湖花园华侨城的新贵小区L型大阳台全湖景大平面,8500万,248277元/㎡,新天鹅堡(一二期),南山-华侨城-侨香路4261号,4室2厅4卫,342.36㎡,南北,中层(共42层),2016年建造
百花 装修好 满五   近医院 商品房 东南朝向 出行方便,760万,146154元/㎡,百花园(一期),福田-百花-百花二路2号,2室1厅1卫,52㎡,东南,中层(共29层),2000年建造
龙华区政府旁！地铁口天虹上！合正观澜汇全新大3房  位置安静,415万,43185元/㎡,合正观澜汇(二期),龙华-龙华区政府-观澜大道115号,3室2厅2卫,96.1㎡,南北,中层(共32层),2021年建造
新出吉售！ 棕榈园高区大三房两卫！看小区花园非常安静看房方便,728万,67252元/㎡,阳光棕榈园,南山-前海-前海路2057号,3室2厅2卫,108.25㎡,南北,中层(共22层),2003年建造
舒适空间的心情定格！,348万,39203元/㎡,中粮凤凰里,宝安-福永-大洋路,3室2厅2卫,88.77㎡,东南,中层(共29层),2017年建造
满五   产权清晰 近医院 次新小区 西南朝向 有电梯,340万,40656元/㎡,满京华云著(一期),宝安-松岗-广进路18号,3室2厅1卫,83.63㎡,西南,高层(共33层),2019年建造
深圳北站上塘地铁口！品质小区精装3房  位置安静 满五税少,530万,55949元/㎡,中海汇德理花园,龙华-龙华-洁玉街,3室2厅2卫,94.73㎡,南,中层(共47层),2021年建造
东海花园二期，诚心出售，价格可谈，配套齐全,1800万,148773元/㎡,东海花园(二期),福田-香蜜湖-香林路22号,3室2厅2卫,120.99㎡,西南,高层(共11层),2000年建造
后亭 有电梯 南向采光好 商品房 临地铁 购物方便,300万,34119元/㎡,华侨城四海云亭,宝安-后亭-大埔北路,3室1厅1卫,87.93㎡,南,低层(共33层),2018年建造
坂田北佳兆业城市广场四房，新政2成首付，这套 Sun！,518万,58209元/㎡,佳兆业城市广场(三期),"龙岗-坂田-宝吉路,近坂李大道",4室2厅2卫,88.99㎡,南,低层(共45层),2016年建造
悦峰华府业主急卖85折开价就卖诚心出售税费少。,338万,36740元/㎡,悦峰华府,罗湖-草埔-木棉岭路4号,3室2厅1卫,92㎡,南,低层(共51层),2023年建造
花语馨舒适居家次新小区，    三房出售,320万,39044元/㎡,花语馨花园,布吉-下水径-布李路97号,3室2厅1卫,81.96㎡,东南,低层(共31层),2018年建造
（罗湖湖景靓房）深小桂园大2房268可谈精装修拎包入住,268万,38031元/㎡,水产大厦,罗湖-东门-人民北路3131号,2室2厅1卫,70.47㎡,南,高层(共19层),1998年建造
锦顺星苑一手现房三房两厅两卫折上折出售,425万,44917元/㎡,锦顺星苑,龙华-龙华区政府-碧澜路,3室2厅2卫,94.62㎡,南北,中层(共30层),2023年建造
本人力荐！红本在手，真实330可签约，三房两卫，可约看房,363万,37034元/㎡,龙光玖钻,龙华-民治-中梅路,3室2厅2卫,98.02㎡,南,低层(共34层),2019年建造
一手业主急次新房，厅出阳台，全明户型~看山景公园景，价可谈,350万,38264元/㎡,悦峰尚府,罗湖-草埔-新棉路,3室2厅1卫,91.47㎡,东,中层(共51层),2023年建造
华润城三房两卫，豪华装修，看房方便，产权  价格空间大,1180万,117989元/㎡,大冲城市花园,南山-大冲-科发路12号,3室2厅2卫,100.01㎡,南,低层(共39层),2014年建造
福田景田C位，万科金色门槛两房，婚房  ，来电获取新价折扣,678万,89024元/㎡,万科金色家园,福田-景田北-莲花路2018号,2室2厅1卫,76.16㎡,东南,高层(共34层),2003年建造
320融湖中心城(二期) 地铁 商业   配套齐全,330万,37113元/㎡,融湖中心城(二期),龙岗-平湖-辅岐路46号,3室2厅2卫,88.92㎡,南,高层(共31层),2017年建造
有电梯 次新房 出行方便 产权清晰 南北通透 双卫格局,365万,38133元/㎡,深城投中心公馆(公寓住宅),坪山-坪山-兰竹西路33号,4室2厅2卫,95.72㎡,南北,高层(共40层),2020年建造
御景翠峰 全新毛坯 紧邻地铁口 价格美丽,425万,47223元/㎡,御景翠峰,盐田-沙头角-深盐路1044号,3室2厅1卫,90㎡,西南,低层(共32层),2017年建造
新上，5.3.0买德弘天下经典三房，深中次新房,530万,71208元/㎡,德弘天下,罗湖-田贝-文锦北路1058号,3室2厅1卫,74.43㎡,南北,中层(共48层),2020年建造
融湖一期新出高楼层三房诚心卖随时看房,350万,41114元/㎡,融湖中心城(一期),龙岗-平湖-歧阳路8号,3室2厅1卫,85.13㎡,南北,高层(共29层),2012年建造
鸿荣源尚都，三房，高楼层，视野好，诚心出售,1015万,96355元/㎡,尚都(一期),宝安-宝安中心区-裕安一路3016号,3室2厅2卫,105.34㎡,东北,低层(共28层),2006年建造
你想要的需求，或许是业主心里的期待，东南向三房，红五一有钥匙,1800万,203069元/㎡,翡翠海岸,南山-后海-后海滨路1122号,3室2厅2卫,88.64㎡,东南,高层(共30层),2012年建造
华富村 满二 商品房 商业配套成熟 近医院 高楼层采光充足,980万,93334元/㎡,华富村,福田-华强北-华富路,3室2厅2卫,105㎡,南,高层(共43层),2023年建造
颐安都会中央(五期) 车位充足 中间楼层 双卫生间 精装修,326.4万,36675元/㎡,颐安都会中央(五期),龙岗-大运-红棉路,3室2厅2卫,89㎡,南北,中层(共32层),2023年建造
香蜜湖核心地段旁，大社区，花园泳池大社区，福田外国语本部,1038万,102773元/㎡,天然居,福田-景田北-景田北街1号,3室2厅1卫,101㎡,南北,高层(共33层),2002年建造
蓝天绿都家园3房，精装修拎包住，诚心卖看房联系我,485.8万,61596元/㎡,蓝天绿都家园,福田-上梅林-梅林路3号,3室2厅1卫,78.87㎡,南北,高层(共15层),2003年建造
13年次新楼盘，大三房诚售,348万,38866元/㎡,瑞泽佳园,龙岗-横岗-红棉路6050号,3室2厅1卫,89.54㎡,南,低层(共30层),2013年建造
医疗配套成熟 高楼层视野好 商业配套成熟 满五   交通便捷,450万,70755元/㎡,深物业金领,福田-皇岗-福田南路40号,2室2厅1卫,63.6㎡,南北,高层(共48层),2020年建造
红山地铁站龙光玖钻商业配套齐全三房南北通透电梯房,355万,39016元/㎡,龙光玖钻,龙华-民治-中梅路,3室2厅2卫,90.99㎡,南北,中层(共32层),2019年建造
（真   ！  品质小区 业主嘎嘎急卖 红本满五年 看房方便,465万,54108元/㎡,星河时代,龙岗-大运-爱南路666号,3室2厅2卫,85.94㎡,南北,中层(共33层),2012年建造
中加名园三房电梯小高层，看房方便,370万,37431元/㎡,中加名园,布吉-信义-荣华路199号,3室2厅2卫,98.85㎡,南,低层(共12层),2002年建造
万科天誉花园，满五年，急卖，欠款少，随时看房，地铁口，,400万,44693元/㎡,万科天誉(二期),"龙岗-龙岗中心城-龙翔大道,近德政路",3室2厅2卫,89.5㎡,南,中层(共50层),2016年建造
万科公园里 满五 刚需小三居 楼龄新 高楼层视野无遮挡,385万,44386元/㎡,万科公园里,布吉-南岭-樟富北路8号,3室2厅2卫,86.74㎡,南,高层(共40层),2017年建造
红树西岸仅40套，出房少！13米大阳台，次顶层南北正看海景！,6500万,242484元/㎡,红树西岸,南山-华侨城-深湾一路3号,3室2厅3卫,268.06㎡,南,高层(共31层),2005年建造
恒地悦山湖花园南区  次新小区  东南向3房2 四联地铁,420万,47107元/㎡,恒地悦山湖花园,龙岗-横岗-康乐路88号,3室2厅2卫,89.16㎡,南,低层(共32层),2017年建造
罗湖区新房悦峰华府全新精装三房 楼下翠园东晓护航 价钱可谈,365万,41955元/㎡,悦峰华府,罗湖-草埔-木棉岭路4号,3室2厅1卫,87㎡,南北,中层(共51层),2023年建造
超高使用率！业主很急卖   核心网红盘 看房方便状态很不错哦,480万,53957元/㎡,颐安都会中央(三期),龙岗-大运-龙飞大道,3室2厅2卫,88.96㎡,南,中层(共29层),2019年建造
安峦公馆 交通便捷 南北通透 近地铁 带电梯 双卫格局,2200万,157267元/㎡,安峦公馆,福田-香蜜湖-侨香三道,4室2厅2卫,139.89㎡,南北,低层(共30层),2018年建造
南山双地铁口精装大两房诚心出售，价格实惠,418万,54286元/㎡,康乐大厦,南山-南山中心区-南山大道2010号,2室2厅1卫,77㎡,东,高层(共28层),1996年建造
408可聊30，这里不让发价，花园社区，业主诚心出售,408万,61115元/㎡,嘉洲华苑,福田-新洲-滨河大道9038号,2室2厅1卫,66.76㎡,西南,高层(共31层),2003年建造
2014年价格真图  非诚勿扰税费只有契税地铁口精装公寓,60万,18675元/㎡,远洋新干线(一期),龙岗-南联-怡丰路2号,1室1厅1卫,32.13㎡,北,中层(共22层),2014年建造
宏发世纪城  笋盘，中高楼层，户型方正明亮，简欧风格装修急售,388万,43942元/㎡,宏发世纪城(二期),宝安-石岩-宝石东路,4室2厅1卫,88.3㎡,南北,高层(共31层),2015年建造
海岸城（谈价380）扛不住了！周转资金！包税过户 深圳外国语,450万,49724元/㎡,万丰海岸城,宝安-马安山-万丰中路245号,3室2厅2卫,90.5㎡,南,低层(共45层),2022年建造
（海景复式6房）现楼交付 蓝郡左岸 保留一手房源,1200万,72993元/㎡,蓝郡左岸花园,盐田-沙头角-东和路,6室2厅3卫,164.4㎡,南北,高层(共33层),2015年建造
皇御苑(一期) 南北通透 交通便捷 小三房 高楼层视野无遮挡,635万,62872元/㎡,皇御苑(一期),福田-皇岗-福田南路,3室2厅2卫,101㎡,南北,高层(共28层),2001年建造
深圳北站！地铁口！ 高档小区！豪装3房！位置安静 红本满五,446万,46401元/㎡,鸿荣源天俊(商住楼),龙华-深圳北站-民塘路,3室2厅2卫,96.12㎡,南,高层(共61层),2021年建造
精装好房 满五   产权清晰 商业配套成熟 临地铁 有电梯,630万,84553元/㎡,万科金域蓝湾,福田-下沙-福荣路68号,2室2厅1卫,74.51㎡,南,低层(共34层),2004年建造
业主放盘了，现业主急售380看上可大刀，不要错过哦,380万,42837元/㎡,光明1号,光明-光明-光明大道,3室2厅1卫,88.71㎡,东南,高层(共33层),2013年建造
近地铁近公园 双龙抱珠精装三房 环境好 看房有钥匙,348万,42985元/㎡,山海四季城Ⅱ公园道,盐田-盐田-盐田路208号,3室2厅2卫,80.96㎡,南北,低层(共33层),2017年建造
罗湖口岸旁，南向，精装两房，看房有钥匙，多套在售，欢迎咨询,305万,48482元/㎡,新银座华庭,罗湖-人民南-春风路3045号,2室1厅1卫,62.91㎡,南,中层(共33层),2007年建造
单价4字头抢160平4房2厅！急售！！！中心花园社区！！！,850万,53145元/㎡,好景豪园,福田-沙嘴-沙嘴路2号,4室2厅3卫,159.94㎡,南北,低层(共15层),1999年建造
石厦80大两房 双阳台业主急售,395万,48802元/㎡,新天CBC,福田-石厦-石厦北二街89号,2室1厅1卫,80.94㎡,南北,低层(共48层),2015年建造
  笋盘，业主叁陆伍可以卖，乐府花园，精装三房，业主诚心出售,390万,43914元/㎡,乐府花园,光明-光明-华夏路,3室2厅2卫,88.81㎡,南,低层(共33层),2020年建造
6XX！石厦北正规四房，单价只要6字头，业主只求一卖！,760万,72381元/㎡,明月大厦,福田-石厦-益田路3009号,4室2厅2卫,105㎡,西北,高层(共33层),1997年建造
仅售2500降价急售水榭山纯别墅，大花园安静,3980万,168802元/㎡,莱蒙水榭山,龙华-民治-玉龙路,4室2厅3卫,235.78㎡,西南,共1层,2002年建造
海印长城二期新出！朝南安静看花园，视野开阔，满五年无欠款,1103万,95128元/㎡,海印长城,南山-南山中心区-海德三道201号,3室2厅2卫,115.95㎡,南,低层(共17层),2003年建造
星河智荟 近地铁 小三房 双卫格局 中间楼层 商品房,335万,38195元/㎡,星河智荟,龙岗-横岗-龙岗大道(横岗段)6698号,3室2厅2卫,87.71㎡,南,中层(共29层),2016年建造
深中龙初 次新小区 精装三房 位置安静 无遮挡采光好 满五年,390万,43821元/㎡,颐安麓园,龙岗-龙岗中心城-黄阁路,3室2厅2卫,89㎡,南,低层(共32层),2018年建造
新出！大露台，大露台 整个小区一套，超高使用率 ！,450万,63704元/㎡,锦绣御园,龙华-龙华-高翔路28号,4室2厅2卫,70.64㎡,南北,低层(共32层),2013年建造
少有万科2.0品质装修 万科广场旁 可议价,423万,48627元/㎡,万科天誉(二期),"龙岗-龙岗中心城-龙翔大道,近德政路",3室2厅2卫,86.99㎡,南,高层(共40层),2017年建造
